"","exchange","symbol","price","size","primary exchange"
"270","C","AAWW",38.6100005,200,"Q"
"273","D1","AAWW",38.7895587962963,18500,"Q"
"276","D2","AAWW",38.7935555555556,13900,"Q"
"279","J","AAWW",38.7375004166667,1300,"Q"
"281","K","AAWW",38.6575000967742,12662,"Q"
"283","P","AAWW",38.7239582777778,10150,"Q"
"286","Q","AAWW",38.6735077015707,21197,"Q"
"288","W","AAWW",38.7020004,500,"Q"
"289","X","AAWW",38.8600006666667,300,"Q"
"291","Y","AAWW",38.7947368421053,2200,"Q"
"293","Z","AAWW",38.7401516060606,3800,"Q"
"295","B","AAXJ",58.9583332222222,1800,"Q"
"296","C","AAXJ",58.860001,100,"Q"
"299","D1","AAXJ",58.8993699193548,31692,"Q"
"300","D2","AAXJ",58.8978260869565,3757,"Q"
"302","J","AAXJ",59.029999,491,"Q"
"304","K","AAXJ",58.92208325,5100,"Q"
"307","P","AAXJ",58.8661956195652,21665,"Q"
"310","Q","AAXJ",58.9288891587302,19541,"Q"
"311","X","AAXJ",59.040001,200,"Q"
"313","Y","AAXJ",59.0116665,900,"Q"
"316","Z","AAXJ",58.9373864772727,9469,"Q"
"319","B","AB",22.72406275,3500,"N"
"322","D1","AB",22.7176306757991,49134,"N"
"324","D2","AB",22.7397959183673,6400,"N"
"325","J","AB",22.745,500,"N"
"326","K","AB",22.7175005,2006,"N"
"328","N","AB",22.7170589117647,8660,"N"
"330","P","AB",22.714844,4837,"N"
"332","Q","AB",22.7197458135593,9057,"N"
"334","W","AB",22.7482609130435,2300,"N"
"335","X","AB",22.709999,300,"N"
"336","Y","AB",22.7208887555556,4514,"N"
"338","Z","AB",22.71540044,2800,"N"
"340","B","ABAX",44.7407153571429,1500,"Q"
"342","D1","ABAX",44.7965619310345,11381,"Q"
"344","D2","ABAX",44.7445454545455,1100,"Q"
"346","J","ABAX",44.8449998333333,600,"Q"
"348","K","ABAX",44.7299994666667,2556,"Q"
"350","P","ABAX",44.836207137931,3470,"Q"
"352","Q","ABAX",44.7897219166667,3900,"Q"
"353","W","ABAX",44.849998,100,"Q"
"354","X","ABAX",44.7349985,200,"Q"
"356","Y","ABAX",44.7771424285714,871,"Q"
"358","Z","ABAX",44.9121429285714,3000,"Q"
"361","B","ABB",22.417500020979,37472,"N"
"363","C","ABB",22.35750025,900,"N"
"366","D1","ABB",22.3969594584362,318703,"N"
"369","D2","ABB",22.3866483516484,67520,"N"
"372","J","ABB",22.4244367605634,20045,"N"
"375","K","ABB",22.396385497992,43139,"N"
"378","N","ABB",22.3928889722222,162190,"N"
"381","P","ABB",22.395224747191,65904,"N"
"384","Q","ABB",22.3764110924574,66288,"N"
"387","W","ABB",22.383437609375,7900,"N"
"389","X","ABB",22.400909,2200,"N"
"392","Y","ABB",22.4151190357143,14450,"N"
"395","Z","ABB",22.393558747557,83065,"N"
"398","B","ABBV",44.6205406306306,12700,"N"
"401","C","ABBV",44.5449998,2694,"N"
"404","D1","ABBV",44.4918544753301,1712286,"N"
"407","D2","ABBV",44.5430630630631,271417,"N"
"410","J","ABBV",44.4774145853659,48849,"N"
"413","K","ABBV",44.4539305009141,157435,"N"
"416","N","ABBV",44.5097222662586,248232,"N"
"419","P","ABBV",44.5209624166667,158729,"N"
"422","Q","ABBV",44.5138552684211,209660,"N"
"424","W","ABBV",44.4769445,3800,"N"
"426","X","ABBV",44.668,500,"N"
"429","Y","ABBV",44.4638030633803,18343,"N"
"432","Z","ABBV",44.5100550110024,106570,"N"
"435","B","ABC",55.9065115348837,18951,"N"
"437","C","ABC",55.9516671666667,800,"N"
"440","D1","ABC",55.8935322226811,492632,"N"
"443","D2","ABC",55.8980040733198,190582,"N"
"446","J","ABC",55.9115796716418,88127,"N"
"449","K","ABC",55.8962953681818,86208,"N"
"452","N","ABC",55.895872442602,293598,"N"
"455","P","ABC",55.8941901322314,87628,"N"
"458","Q","ABC",55.8952453075328,195382,"N"
"461","W","ABC",55.8799997575758,6600,"N"
"464","X","ABC",55.8945947297297,14800,"N"
"467","Y","ABC",55.894880952381,10618,"N"
"470","Z","ABC",55.8983670880748,155409,"N"
"472","D1","ABCB",13.8862,944,"Q"
"473","D2","ABCB",13.88,300,"Q"
"474","K","ABCB",13.97,100,"Q"
"475","P","ABCB",13.9471428571429,1610,"Q"
"477","Q","ABCB",13.95,487,"Q"
"478","Z","ABCB",13.895,200,"Q"
"479","D1","ABCD",0.95,700,"Q"
"480","J","ABCD",0.9453,100,"Q"
"481","K","ABCD",0.95,800,"Q"
"484","P","ABCD",0.955714285714286,18451,"Q"
"487","B","ABCO",46.9052458852459,23849,"Q"
"488","C","ABCO",46.830002,100,"Q"
"491","D1","ABCO",46.8945675608108,25536,"Q"
"493","D2","ABCO",46.8944444444444,9100,"Q"
"495","J","ABCO",46.8360004,1000,"Q"
"497","K","ABCO",46.9245368888889,6772,"Q"
"499","P","ABCO",46.9149201587302,8478,"Q"
"501","Q","ABCO",46.90589285,14289,"Q"
"502","W","ABCO",46.849998,100,"Q"
"504","X","ABCO",46.8466656666667,300,"Q"
"506","Y","ABCO",46.90725005,8000,"Q"
"508","Z","ABCO",46.91453046875,3800,"Q"
"511","B","ABFS",11.7322222222222,1800,"Q"
"514","D1","ABFS",11.659797826087,32576,"Q"
"517","D2","ABFS",11.6585,27904,"Q"
"520","J","ABFS",11.7121052631579,1900,"Q"
"523","K","ABFS",11.7258974358974,22687,"Q"
"526","P","ABFS",11.6870689655172,15493,"Q"
"529","Q","ABFS",11.6856370656371,40774,"Q"
"531","W","ABFS",11.65,400,"Q"
"532","Y","ABFS",11.5814285714286,1600,"Q"
