"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"3519","UNP","D2","Midday",0.0364168150235066,141.843524446741,0.0385926103169939,395855,"N"
"3555","UPS","D1","Midday",5.26839710778625e-06,83.9538817468942,0.0113521275743776,150462,"N"
"3558","UPS","D2","Midday",0.0130912876368167,83.9664433089713,0.0126942493563009,708291,"N"
"3594","USB","D1","Midday",2.38860335596901e-06,34.0587765852177,0.00874671832092451,267836,"N"
"3597","USB","D2","Midday",0.00953853899432767,34.0570745859095,0.0098656339030112,1278468,"N"
"3632","UTX","D1","Midday",6.23359534018798e-06,93.2041527905227,0.0136117240934993,156104,"N"
"3635","UTX","D2","Midday",0.0159536427845156,93.2263424878865,0.0152533040570386,470697,"N"
"3670","V","D1","Midday",8.74837239583333e-06,168.256025838216,0.0365334879557292,116522,"N"
"3673","V","D2","Midday",0.0386146296884587,168.177511471396,0.042681978728717,467819,"N"
"3708","VZ","D1","Midday",3.11741355320891e-06,49.5371854517384,0.00953750585668953,639508,"N"
"3711","VZ","D2","Midday",0.00994615014496623,49.5879763265405,0.00992631846339622,2050826,"N"
"3747","WAG","D1","Midday",2.15371754398836e-06,47.4881411647833,0.00967423456205907,538577,"N"
"3750","WAG","D2","Midday",0.0108779341395346,47.5014449264912,0.0100098371311427,1374202,"N"
"3788","WFC","D1","Midday",2.57623909805228e-06,36.9117105158793,0.00970266579482962,721854,"N"
"3791","WFC","D2","Midday",0.00934846945616556,36.9433708419253,0.00994973626715572,2840178,"N"
"3830","WMB","D1","Midday",2.33995974767469e-06,37.7515135872826,0.00984840489559592,442462,"N"
"3833","WMB","D2","Midday",0.0103904780890439,37.7962258405075,0.0100664163630534,763959,"N"
"3870","WMT","D1","Midday",6.49883283542081e-06,75.7538587664088,0.0101736705140769,318133,"N"
"3873","WMT","D2","Midday",0.0101979765198911,75.7315450528321,0.0104449433960495,1059296,"N"
"3910","XOM","D1","Midday",7.40660780389118e-06,90.5851902733164,0.0103033144611958,324160,"N"
"3913","XOM","D2","Midday",0.0111024887581182,90.6003967688336,0.0108008795637425,1270673,"N"
