"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"1336","F","X","Midday",0.00942972250152052,13.0864255762937,0.00921043596769634,156600,"N"
"1339","F","Y","Midday",0.00904578593239855,13.0926413073469,0.00978670547257608,414009,"N"
"1342","F","Z","Midday",0.00513224276780087,13.0916712983759,0.00894291046100134,1681156,"N"
"1348","FCX","B","Midday",0.00971695938012161,32.0411195202684,0.00974268035692291,87005,"N"
"1351","FCX","C","Midday",0.00896591975771148,32.0299998973978,0.00896591975771148,7694,"N"
"1357","FCX","J","Midday",0.00953121855854988,32.092949098597,0.00940096750855446,221477,"N"
"1360","FCX","K","Midday",0.00846794256841305,32.1077600988233,0.00878389673681859,485753,"N"
"1363","FCX","N","Midday",0.00908870953857941,32.0928929380962,0.00944011858555546,450925,"N"
"1366","FCX","P","Midday",0.00815237696358999,32.1147176555109,0.00915061324538826,834498,"N"
"1369","FCX","Q","Midday",0.00840181185030201,32.1185868316417,0.0100693950301638,740717,"N"
