"","x"
"60 _ 5000",0.00287803977299661
"60 _ 6000",0.00287803977299661
"60 _ 7000",0.00287803977299661
"60 _ 8000",0.00287803977299661
"60 _ 9000",0.00287803977299661
"60 _ 10000",0.00287803977299661
"60 _ 11000",0.00287803977299661
"60 _ 12000",0.00287803977299661
"60 _ 13000",0.00287803977299661
"60 _ 14000",0.00287803977299661
