Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
EPV;300;;2667;100;;;2500;;;;;
ERUS;;;100;;;;4130;200;;;;
ERX;300;300;25846;100;2459;;1898;2160;;;533;200
ERY;100;;29160;600;1604;;600;3000;;;;300
EUM;;;280;;;;;;;;;
EUO;;;26524;500;200;;;200;;;1700;
EWA;4182;;20565;800;3700;;26568;6699;100;;;3579
EWC;;;11260;200;;;2675;2733;;2300;100;400
EWD;236;;100;;;;2000;100;;;;400
EWG;700;;66811;22605;1000;;12722;14000;;;4500;20056
EWH;500;;10468;2594;100;;55850;400;;400;;3874
EWI;2900;;3651;300;790;;8210;2300;;;700;9770
EWJ;61984;;646847;211920;15601;;204897;20600;3000;10600;94991;49811
EWL;;;4022;;500;;8774;820;;;;5854
EWM;;;11194;1605;200;;21359;2591;;;;100
EWO;;;340;;;;;;;;;
EWP;200;200;6940;;100;;57092;1200;;;1054;4557
EWQ;;;1800;100;800;;5300;5600;;;;8742
EWS;195;;34842;7808;100;;30429;300;;;300;3400
EWSS;;;;;;;200;;;;;100
EWT;500;;9571;5200;100;;35286;7320;;300;1663;2744
EWU;875;;3857;3800;700;;1718;2316;;;3131;3796
EWW;100;;63509;591;1200;;15788;9500;;100;1400;3400
EWX;200;;;200;;;;;;;;
EWY;100;;8080;;100;;16577;907;;;;1011
EWZ;1400;1300;93430;9500;24149;;63508;18862;200;;3300;18350
EZA;;;;;500;;1100;100;;;;
EZJ;;;3000;100;;;900;;;;;300
EZM;;;1228;;;;;;;;;
EZU;;;352;;200;;3875;900;;;;3523
FAS;2000;100;48953;500;11995;;17038;2981;200;700;1800;4200
FAZ;1100;;44047;500;1820;;19095;400;;300;800;3300
FBT;;;100;;;;300;277;;;;
FCG;;;8700;;;;;;;;;700
FDL;;;1000;;;;1238;;;;;
FDN;;;803;;;;642;;;;;
FEZ;900;;825;1455;;;8100;2900;;;;4900
FFR;;;200;;;;400;;;;;
FGD;;;102;;;;323;;;;;
FIW;;;200;;;;;;;;;
FLAG;;;;;;;4674;;;;;
FLOT;;;11840;;;;400;;;;;
FLRN;;;500;;;;;;;;;
FNX;;;800;;100;;;;;;;
FNY;;;;;;;;900;;;;
FPE;;;1000;;;;;;;;;
FPX;;;1307;;;;;;;;;
FRN;;;123;;;;;;;;;
FTA;;;100;;;;8000;;;;;1400
FXA;;;1850;100;;;;;;;;729
FXC;;;1075;;100;;1150;200;;;;
FXD;;;;500;180;;200;500;;;100;
FXE;200;;;;;;;;;;300;1000
FXF;;;;;;;190;;;;;600
FXG;;;990;;100;;100;;;;;
FXH;;;450;;;;;;;;;
FXI;200;3000;82064;6347;6555;;95248;21652;;3300;1000;29171
FXL;;;1050;;;;1500;;;;;
FXO;;;;;;;100;2400;;;;
FXP;415;;1142;;;;;500;;;;
FXR;;;792;;;;;;;;;
FXS;;;;;;;1000;;;;;
FXY;;;874;100;;;9370;100;;;;100
FXZ;;;600;;993;;100;;;;;
FYX;;;;;;;106;;;;;
GASL;;;6012;;261;;400;;;;;
GASX;;;2012;;;;100;;;;;
GBF;;;3437;;;;;;;;;
GCC;;;525;;;;;;;;;
GDX;2219;;140724;6292;19626;;105190;48122;;100;8839;39232
GDXJ;;;55200;2584;8500;;30500;10101;;;700;7100
GEMS;;;;;;;200;;;;;
GEX;;;100;;;;;;;;;
GLD;1875;;76910;5166;8500;1800;37671;15139;200;100;2900;11544
GLDX;;;6733;;;;;100;;;;
GLL;100;;5360;300;3850;;900;500;;;300;2800
GLTR;;;100;;;;;;;;;
GNR;;;400;;;;1050;200;;;;
GOVT;;;100;;;;2073;;;;;
GRI;;;405;;;;;;;;;
GSC;100;;;;;;;;;;;
GSG;;;1090;;400;;650;100;;;;
GSP;;;498;100;;;1100;;;;;1000
GTAA;;;;;;;500;;;;;
GUNR;;;100;500;;;1136;;;;;
GWL;;;400;100;;;;;;;;
GWX;;;;;;;503;;;;;
GXC;100;;;;;;100;;;;;100
GXF;;;100;;;;100;;;;;
GXG;;;;;;;;;;;;800
HAO;;;5200;2200;;;5350;;;;;300
HAP;;;;;;;300;;;;;500
HDGE;;;15975;;;;500;400;;;;
HDV;;;5852;;200;;15231;100;;;;
HEDJ;;;145;;;;;;;;;
HGI;;;;;100;;;;;;;
HILO;;;;;;;;;;;;500
HYD;;;28863;;;;100;;;;;
HYG;100;;25298;1700;1249;;13500;6120;;;951;3765
HYLD;;;1300;;598;;200;;;;;
HYMB;;;440;;;;;;;;;
HYS;;;400;;;;1476;2600;;;;1100
IAK;;;550;;;;;;;;;
IAT;;;;;;;115;;;;;
IAU;;;22007;2015;138;;2236;200;;;300;
IBCB;;;;;;;200;;;;;
IBND;;;;;;;415;;;;;
ICF;;;599;;;;200;200;;;;400
IDU;;;501;;;;500;;;;;
IDV;;;4419;;;;3351;;;;;100
IDX;100;;2946;200;;;3597;1052;;;;
IDXJ;;;600;;;;630;;;;;
IEF;;;1410;;;;254;100;;;;
IEFA;;;100;;;;;;;;;
IEI;;;114;;;;;;;;;
IEMG;;;550;;;;1500;200;;;;
IEO;;;635;;;;;;;;;
IEV;;;1998;;;;1354;114;;;;600
IEZ;;;;100;;;200;;;;;
IGE;100;;216;;390;;3264;;;;100;
IGF;;;3610;;;;200;;;;;900
IGM;;;1077;;;;1000;100;;;;
IGN;;;290;;;;500;;;;;
IGV;;;;;;;900;;;;;
IHE;;;7170;;;;1020;200;;;;
IHF;100;;900;;;;600;500;;;;
IHI;;;15100;;;;1100;;;;;
IJH;200;;4260;100;1674;;300;400;;;;400
IJJ;;;200;;;;;;;;;
IJK;;;100;;;;200;;;;;
IJR;;;2097;;;;999;1008;;;;
IJS;;;100;;100;;100;;;;;
IJT;100;;600;;700;;100;;;;;
ILF;100;;2460;;500;;928;;;;100;900
ILTB;;;;;;;500;;;;;
INDL;;;470;;;;1200;;;;;
INP;;;500;;400;;1300;;;;;100
IOO;;;700;;;;259;441;;;;700
IPFF;;;162;;;;;;;;;
IPS;;;;;;;100;;;;;
IPU;;;;;;;;;;;;100
IST;;;500;;;;;;;;;
ITB;3200;;121780;10900;13349;;39019;20688;1100;17100;3000;20324
ITM;;;;;;;480;;;;;
ITOT;;;3090;;200;;100;;;;;
ITR;;;286;;;;;;;;;
IVE;;;;100;200;;200;100;;;;200
IVOG;;;700;;;;;;;;;
IVV;500;;21375;707;30924;;5142;3197;;;1500;8316
IVW;;;4434;;100;;1400;;;;;600
IWB;;;4210;;1491;;1499;1254;;100;;1100
IWC;;;345;;;;104;;;;;
IWD;;;2180;200;200;;1000;1600;;100;;3200
IWF;800;;17790;1000;1300;;4465;1700;;500;600;1700
IWL;;;;;;;332;;;;;
IWN;;;10800;;;;1400;300;;;;
IWO;;;300;;;;907;200;;;;200
IWP;;;;;;;1074;;;;;
IWR;;;1648;;;;;;;;;
IWS;;;2200;;100;;2142;;;;;
IWV;;;2400;200;;;900;200;;;;
IWW;;;;;;;247;;;;;
IWY;;;;;;;1000;;;;;
IWZ;;;;;;;1000;;;;;
IXC;300;;1732;500;100;;;;;;2000;
IXG;;;2540;;;;256;;;;;
IXJ;100;;1900;;300;;1629;;;;;2797
IXN;700;;1000;100;200;;;200;;;;200
IXUS;;;250;;;;;;;;;
IYE;;;700;;;;300;500;;;;500
IYF;200;;2909;;;;500;600;;;;
IYH;100;;;;100;;;200;;;794;
IYJ;;;;;;;100;;;;;
IYK;;;150;;;;798;;;;;
IYM;;;1005;100;;;1315;900;;;;
IYR;1400;;32054;600;5099;;14466;15537;100;3500;600;9744
IYT;800;;9255;1200;4745;;2809;16848;;;1200;8045
IYW;;;100;;;;3266;;;;;
IYY;;;;;;;800;;;;;
IYZ;;;3162;;;;1434;;;;;665
JGBD;;;5000;;;;;100;;;;
JGBS;;;;;;;;100;;;;
JJC;;;2000;;;;982;;;;;600
JJG;;;;;;;;;;;;582
JJT;;;;;;;4100;;;;;
JKE;;;;;;;1387;;;;;667
JKH;;;;;;;100;;;;;
JKL;;;;;;;314;;;;;
