Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
XLF;59755;100;157513;25823;34971;;182809;150264;;300;16663;150092
XLI;300;700;21834;1100;6100;;13631;8656;;2300;1450;5600
XLK;800;;48207;900;2400;;25754;18784;;200;2491;7400
XLP;800;;184805;17508;36780;;124192;74996;;2400;14115;59809
XLU;;;63861;4000;10375;;47383;23255;600;2300;400;31994
XLV;2200;;140847;1300;5200;;41082;19765;;200;998;52252
XLY;200;;11721;422;1500;;4417;1900;;;;2715
XME;2300;300;51420;8000;34119;;48247;20500;;1200;6314;23657
XMLV;;;;;;;700;;;;;
XOP;300;600;13250;3600;5600;;13142;15060;200;;1300;9200
XPP;;;;;;;200;;;;;
XRT;;;5900;;300;;2436;1700;;200;;1203
XSLV;;;;;;;500;;;;;
XTN;;;;;;;100;;;;;
XVZ;400;;385;100;;;;400;;;200;
YANG;;;700;;;;100;;;;;
YAO;;;;;;;1012;;;;;
YCS;;;2150;;;;23530;;;;;
YINN;;100;14606;500;5917;;7900;;;;;1780
YMLP;;;200;200;;;500;;;;;
ZIV;;;2204;;;;100;;;;;100
ZSL;;100;8849;300;3488;;4283;2800;;;700;1700
