Size,AMJ,FRI,ACWV,AFK,AGEM,AGG,AGQ,AGZ,AIA,AMLP,AOA,AOR,ASEA,ATMP,BAB,BABZ,BBH,BDCL,BDCS,BIK,BIL,BIV,BIZD,BKF,BKLN,BND,BNO,BOIL,BOND,BRF,BSCH,BSCI,BSJD,BSJE,BSJF,BSJG,BSJI,BSV,BWX,BWZ,BXUB,BZF,CEW,CFT,CGW,CHIQ,CHOC,CIU,CLY,COPX,CORN,CRBQ,CROC,CSD,CSJ,CSM,CURE,CUT,CVOL,CVY,CWB,CWI,CYB,DAG,DBA,DBC,DBE,DBEF,DBJP,DBO,DBP,DBS,DDG,DDM,DEF,DEM,DES,DFJ,DGAZ,DGL,DGLD,DGP,DGS,DGZ,DHS,DIA,DIG,DJCI,DJP,DLN,DOG,DOL,DON,DOO,DPK,DRN,DRV,DRW,DSI,DSLV,DSUM,DTD,DTH,DTN,DTO,DTYL,DTYS,DUG,DUST,DVY,DWAS,DWX,DXD,DXJ,DZK,DZZ,EBND,ECH,ECON,EDC,EDIV,EDV,EDZ,EEB,EELV,EEM,EEMS,EEMV,EEV,EFA,EFAV,EFG,EFU,EFV,EFZ,EIDO,EIRL,EIS,ELD,EMB,EMLC,EMLP,EMT,ENY,ENZL,EPHE,EPI,EPOL,EPP,EPU,EPV,ERUS,ERX,ERY,ESR,EU,EUM,EUO,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWP,EWQ,EWRM,EWRS,EWS,EWT,EWU,EWV,EWW,EWX,EWY,EWZ,EXI,EZA,EZJ,EZM,EZU,FAS,FAZ,FBG,FBT,FCAN,FCG,FDL,FDN,FEM,FEU,FEX,FEZ,FGD,FGEM,FGM,FIW,FKU,FLOT,FM,FNI,FNX,FPX,FRN,FSZ,FTA,FVD,FVL,FXA,FXC,FXD,FXE,FXF,FXG,FXH,FXI,FXL,FXN,FXO,FXP,FXR,FXU,FXY,FXZ,GASL,GASX,GAZ,GCC,GCE,GDX,GDXJ,GEX,GLD,GLDX,GLL,GLTR,GML,GNR,GREK,GRES,GRI,GSC,GSG,GSP,GTAA,GUNR,GUR,GVI,GWL,GWX,GXC,GXG,HAO,HDGE,HDV,HEDJ,HILO,HVPW,HYD,HYG,HYS,IAI,IAK,IAT,IAU,IBCD,ICF,ICN,IDU,IDV,IDX,IEF,IEFA,IEMG,IEO,IEV,IGE,IGF,IGV,IHE,IHF,IHI,IHY,IJH,IJJ,IJK,IJR,IJS,IJT,ILB,ILF,INDL,INKM,INP,IPE,ISTB,ITB,ITM,ITOT,ITR,IVE,IVOG,IVOO,IVOV,IVV,IVW,IWB,IWC,IWD,IWF,IWN,IWO,IWP,IWR,IWS,IWV,IWW,IXJ,IXP,IYC,IYE,IYF,IYH,IYJ,IYK,IYM,IYR,IYT,IYW,IYY,IYZ,JGBD,JGBS,JJA,JJC,JJG,JJP,JKD,JKJ,JKK,JKL,JNK,JO,JPP,KBE,KBWC,KBWP,KBWY,KCE,KIE,KOL,KOLD,KRE,LAG,LBJ,LEMB,LQD,LTPZ,LVL,LWC,MBB,MCHI,MDY,MDYV,MGC,MGK,MGV,MIDU,MIDZ,MINT,MLN,MLPG,MLPI,MLPL,MOO,MORL,MORT,MSXX,MUB,MUNI,MVV,MXI,MYY,MZZ,NIB,NKY,NUGT,OEF,OFF,OIH,OIL,PALL,PBD,PBE,PBJ,PBS,PBW,PCEF,PCY,PDP,PEK,PEY,PFF,PFM,PGF,PGJ,PGX,PHB,PHO,PHYS,PICB,PID,PIE,PIN,PIO,PIZ,PJP,PKB,PKW,PLW,PPA,PPH,PPLT,PSJ,PSK,PSL,PSLV,PSQ,PVI,PWV,PXF,PXH,PXN,PXQ,PZA,PZI,QAI,QID,QLD,QQQE,RALS,REM,REMX,REW,REZ,RFG,RFV,RGI,RHS,RING,RJA,RJI,RJN,ROM,ROOF,RPG,RPV,RSP,RSX,RSXJ,RTH,RUSL,RUSS,RWM,RWO,RWR,RWV,RWX,RWXL,RXD,RXL,RYE,RYT,RYU,RZG,RZV,SBM,SCC,SCHA,SCHB,SCHC,SCHD,SCHE,SCHF,SCHG,SCHH,SCHM,SCHP,SCHV,SCHX,SCHZ,SCIF,SCO,SCPB,SCZ,SDA,SDIV,SDOG,SDOW,SDS,SDY,SEF,SGG,SGOL,SH,SHM,SHY,SIJ,SIL,SIVR,SJNK,SKF,SKK,SLV,SLVP,SLX,SLYV,SMDD,SMH,SMN,SNLN,SOXL,SOXS,SPHD,SPHQ,SPLV,SPPP,SPXL,SPXS,SPXU,SPYV,SRLN,SRS,SRTY,SSG,SSO,STIP,STPZ,SUB,SVXY,TAN,TAO,TBF,TBT,TDH,TECL,TECS,TFI,THD,TIP,TLH,TLO,TLT,TMF,TMV,TNA,TRND,TTT,TUR,TVIX,TVIZ,TWM,TZA,UBT,UCC,UCO,UDN,UDOW,UGA,UGAZ,UGL,UGLD,UMDD,UNG,UNL,UPRO,UPW,URA,URE,URTY,USL,USLV,USMV,USO,USV,UUP,UUPT,UVXY,UWM,UWTI,UXI,UYG,UYM,VAW,VB,VBK,VBR,VCR,VDC,VDE,VEA,VEU,VFH,VGK,VGT,VHT,VIG,VIIX,VIOV,VIS,VIXY,VNM,VNQ,VO,VOE,VOO,VOOG,VOT,VOX,VPL,VPU,VSS,VT,VTI,VTV,VUG,VV,VWO,VXF,VXZ,VYM,WEAT,WEET,WMW,WPS,XBI,XES,XHB,XIV,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XMLV,XOP,XPP,XRT,XVZ,YCS,YINN,YMLI,YMLP,YXI,ZIV,ZSL
B,0,0,0,0,0,100,0,0,0,600,0,1420,0,0,0,0,0,0,0,0,0,0,0,100,0,658,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,505,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,300,0,100,0,0,0,1000,0,0,0,0,0,36491,0,600,0,800,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,2300,0,100,0,324,0,200,0,0,0,2549,0,300,0,0,0,400,0,22675,0,0,0,0,0,0,0,0,918,1600,100,0,0,0,0,2568,0,0,0,0,0,3100,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3100,0,0,0,300,0,0,0,0,0,0,0,0,0,6900,0,0,1151,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,200,100,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,100,100,0,0,300,400,100,0,0,400,0,100,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,350,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,200,0,2100,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,400,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,2100,0,0,0,1000,200,0,0,0,0,0,0,0,0,16393,0,0,0,500,100,0,0,0,100,0,0,800,0,2000,1900,2250,0,0,0,0,0,447,0,0,400,0,0,0,5300,3100,100,200,100,0,0,0,0,0,4600,100,0,700,0,0,0,17967,0,4000,2000,0,0,0,0,300,0,0,0,500,0,1100,0,300,0,0,0,0,0,500,100,300,0,100,0,27536,0,0,0,0,0,0,400,100,100,0,0,0,1500,0,0,0,0,0,0,0,0,0,200,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,100,7958,0,800,62706,3900,2800,0,100,102,0,300,0,100,0,600,100,0,0,0,0,0,0,0
C,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,4400,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0,0,470,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,400,0,0,0,500,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11685,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,500,300,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
D,3859,553,1000,450,497,14829,33506,0,510,35860,345,0,3796,900,850,400,5033,2500,249,2400,612,302,0,200,57237,15460,700,300,6675,0,300,1825,0,300,548,110,200,1202,2070,900,0,1000,1400,892,2534,850,200,842,200,1350,950,0,0,117,7253,0,1742,200,1600,5298,5608,0,500,0,2500,6204,1550,300,1000,0,6900,200,200,12600,500,2236,2510,670,18570,200,100,3402,5400,300,450,97308,6230,100,2062,600,16530,100,446,400,100,3100,800,318,0,10343,0,670,315,611,250,0,450,10682,36035,7209,365,349,32290,33770,0,106775,500,800,10000,11600,264,170,878,0,0,567657,100,1190,3045,110299,1143,1200,100,500,400,3600,0,200,2984,5350,8600,1415,346,0,0,2975,36160,2646,11568,1000,18145,100,8269,4075,0,200,3026,7400,18400,10881,1067,9522,14399,16143,285561,1400,1112,37314,210,7793,2400,0,0,25977,20768,5283,200,38091,100,1900,25019,2300,1200,0,0,200,108327,64259,2200,225,100,1349,930,4884,150,0,0,1596,107,770,100,237,100,1173,4353,0,0,0,250,100,0,7100,0,101,0,458,6439,900,556,2622,67858,200,809,763,14795,0,0,6000,300,1440,2105,200,1140,0,166377,62330,1556,129768,12840,14458,0,1000,0,500,0,100,100,0,1635,1000,3700,0,100,100,1925,2973,0,800,2900,4065,0,0,0,29189,35440,1982,100,2140,1360,42657,0,1937,2520,1300,5540,452,1929,370,173,520,1428,1275,647,0,300,100,470,0,2422,910,400,3735,476,1300,600,7574,2000,260,100,300,0,193022,432,448,824,1500,1250,0,0,27641,398,8494,666,4600,12447,4320,3100,1700,620,2825,610,270,1115,200,100,463,850,100,400,1000,700,8510,1500,700,0,2100,300,500,0,100,0,100,2100,476,0,600,14116,4404,118,4300,250,0,400,100,100,1100,400,12634,500,1850,0,6028,300,0,0,809,7000,7198,2000,400,314,143,1225,3312,300,0,1000,2289,336,6239,2200,2044,0,100,1000,550,1760,500,1310,150,2200,360838,2400,550,38900,12000,7089,152,200,400,450,2000,939,1500,2040,100,1100,70685,700,26517,3900,19370,855,100,39011,1464,1292,404,0,300,0,2453,0,3317,204,400,1343,580,0,9500,579,45038,15546,380,210,0,0,670,585,24665,0,0,74877,31510,100,1140,15382,5200,200,465,0,0,500,0,2450,7350,5700,100,400,600,2495,2000,7700,29059,215,100,500,1387,40244,1300,574,620,4075,120,700,100,0,0,100,0,0,0,0,4862,10521,0,5902,1798,5807,862,800,1600,659,893,8783,1063,6000,51217,100,359,100,9981,2450,6015,304475,31425,300,100,4057,62007,505,2308,0,1400,3825,3568,7084,0,262085,0,857,0,1200,20632,4200,150,8831,10245,0,0,24388,227,31647,138474,199681,0,200,700,22046,700,95790,487,651,1126,15133,2150,5510,9895,43904,800,11537,1720,17300,2500,5995,200,0,99900,1300,4168,217808,0,1200,600,421093,200,114636,306895,1886,100,38102,0,6066,1100,1300,20805,4540,1452,275257,300,44671,750,4750,300,2750,1600,65043,27987,47390,3800,234,3700,1212721,5728,0,0,7264,300,290,4290,495,1101,300,1417,685,8279,1954,0,4793,600,4771,9109,710,104,831,127500,31233,15240,3256,2049,8230,1700,1160,3025,2132,200,564,592,30834,1256,2263,743,102639,100,2900,5500,0,0,1800,100,5445,813,168750,459226,5721,31964,563024,118776,63350,63160,17502,94660,13021,8352,112,26167,200,20964,333,9805,13300,599,2900,0,1700,10114
J,0,0,0,0,0,0,200,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11580,0,0,400,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,400,2091,0,0,0,0,0,100,0,0,0,100,0,131405,0,600,0,15884,0,0,0,0,0,600,0,0,0,100,200,0,0,0,0,6460,2300,100,1700,0,0,300,100,0,0,0,0,0,8562,1400,0,200,14500,100,158142,0,0,3895,0,100,0,0,0,9826,20090,200,0,2200,100,200,4100,0,400,0,0,400,9600,6012,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,14845,0,0,0,1100,100,0,0,0,0,0,0,0,0,13836,800,0,3400,100,1700,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,100,0,0,0,0,0,0,0,0,700,0,0,0,0,12600,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,1355,0,800,0,0,0,0,100,0,0,100,200,0,100,0,0,0,0,0,0,100,0,300,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,100,0,0,0,0,0,0,0,0,500,0,3302,0,0,0,0,0,0,0,0,0,0,0,0,300,0,100,0,0,0,0,0,0,0,0,0,5250,800,0,2300,100,100,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,2000,0,0,200,0,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,100,0,0,0,4400,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,820,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,3119,0,1000,700,100,0,0,0,0,0,0,1000,0,0,0,100,0,0,16613,200,0,0,0,2200,0,0,0,0,0,0,0,0,4700,0,0,0,0,800,0,0,100,100,0,0,0,0,0,5800,5922,0,0,0,0,100,2680,0,0,0,0,0,0,0,5771,100,100,0,0,600,0,0,0,727,200,0,9723,0,0,0,3200,0,651,4700,300,0,3721,0,0,0,0,0,0,0,6400,0,1000,0,0,100,100,0,500,0,5002,0,49000,0,15931,0,0,0,2600,0,100,200,0,0,200,100,0,2500,0,0,0,0,0,100,100,0,0,600,400,300,0,0,400,0,600,0,300,100,0,100,0,200,0,0,19267,100,0,715,0,0,0,0,100,0,1700,4800,1400,700,133668,6786,1500,2400,1800,3368,968,600,0,3100,0,3500,0,0,100,0,900,0,0,1060
K,0,0,0,0,0,400,711,0,0,800,0,0,0,0,0,0,724,0,0,200,0,0,0,400,0,700,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,311,600,0,0,0,0,100,0,0,0,0,14950,0,0,0,0,0,1500,0,100,0,0,0,0,0,0,0,0,0,0,0,24158,0,0,100,0,4800,0,0,0,0,0,0,0,0,4936,0,0,0,0,0,0,0,1445,2255,0,0,0,600,2800,0,0,0,100,0,836,0,0,0,0,0,38977,0,0,0,34066,360,0,0,0,0,0,0,0,0,0,200,0,0,0,0,600,1120,0,200,0,100,0,300,150,0,0,100,0,400,3531,300,200,3500,5800,49086,0,200,100,0,0,0,0,0,200,10682,0,1700,4100,0,1900,6641,0,0,0,0,0,18769,20860,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20513,0,0,0,0,0,0,0,0,0,0,0,0,0,22627,200,0,12639,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,100,0,0,0,3870,1130,999,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,100,0,0,100,700,300,0,100,0,0,0,0,0,0,0,100,0,497,15020,0,0,0,0,0,0,0,1861,360,0,0,600,300,200,200,0,0,100,0,0,0,0,0,0,900,0,0,0,100,2747,200,400,0,100,0,0,0,0,0,0,0,0,0,0,1600,0,0,1100,0,0,0,0,0,0,0,200,0,0,100,355,0,0,0,0,0,4200,0,100,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,14105,1000,0,1500,5200,1600,0,0,0,0,0,400,0,0,0,0,400,0,0,0,400,0,0,1039,0,0,0,0,0,0,354,0,200,0,100,0,100,0,0,0,800,0,0,0,0,0,0,0,0,0,0,2200,11875,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,100,1057,0,0,0,0,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,5140,0,0,0,100,0,0,62892,1700,0,0,200,800,0,0,0,0,0,0,0,0,9959,0,0,0,0,700,0,0,1500,1300,0,0,0,0,300,17900,24500,147,0,0,0,600,48010,0,0,300,0,150,0,0,4500,0,300,0,0,200,0,0,0,3721,100,500,39081,0,0,300,55362,0,2900,42477,100,0,12000,0,400,0,350,938,0,0,3627,0,1714,0,0,0,500,0,2100,100,1590,0,0,0,84268,100,0,0,38184,0,0,200,0,400,0,0,0,12748,100,0,1400,200,150,200,200,0,118,300,400,2249,0,0,1275,100,0,0,0,840,0,0,1300,0,0,304,16795,100,0,0,0,0,0,0,100,0,3800,24284,4348,16087,410167,17437,800,5656,700,8792,2250,900,0,7900,100,2200,0,2000,2100,0,0,0,300,900
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,100,0,300,0,0,18147,10381,160,228,15183,0,0,0,500,100,200,5886,0,0,300,1329,487,100,556,19269,3503,0,0,36161,500,0,0,400,0,0,0,0,1281,300,0,600,0,100,0,1350,1340,0,0,800,200,500,0,340,0,126,0,100,281,0,738,0,900,100,200,181,2900,100,0,2745,300,2500,0,0,900,0,1600,500,100,2800,0,600,100,275,0,1380,51180,1138,0,3500,0,1050,200,1000,0,0,500,600,0,571,800,0,0,0,0,0,500,0,800,2479,13645,200,0,1380,81106,0,8510,0,531,350,900,0,0,750,0,220,313503,200,1000,0,59313,0,224,0,0,0,13515,200,260,700,5335,1090,0,0,118,560,9791,11371,1065,23467,0,1900,2805,1251,5700,0,0,0,600,28115,900,7586,8452,67384,2800,245314,5200,556,56036,0,12708,17600,101,0,117009,80531,3627,0,11535,400,28426,74854,100,21026,100,1500,45073,22918,17631,0,0,0,300,100,1500,0,335,0,991,0,0,0,141,0,0,2600,500,600,200,0,0,0,22263,150,0,0,0,16800,0,0,400,191561,0,900,236,0,200,1000,2300,0,0,850,0,0,100,112827,37379,0,52350,0,4900,0,0,0,700,200,1242,0,0,0,0,0,800,0,300,0,100,500,0,200,3194,4700,500,100,2000,13955,800,280,100,100,300,2000,400,0,0,6906,3100,1205,119,0,0,0,0,100,0,0,0,0,700,1000,0,343,5881,1400,1400,0,500,0,215,2327,0,0,54848,0,0,0,100,0,0,0,5451,300,3800,0,4200,5253,4254,1600,2923,600,5249,481,0,9199,0,0,100,1144,173,0,0,200,10768,2350,1300,447,200,100,0,500,2700,246,0,0,500,100,800,9970,0,0,3600,0,100,100,500,0,0,0,9125,0,700,0,5507,900,800,0,700,16040,2400,0,200,0,350,200,0,0,957,0,100,0,6240,0,1100,400,0,0,0,100,0,200,800,0,46142,4331,0,23217,2100,400,0,0,2000,1464,0,2100,3100,160,0,0,10788,0,1933,2448,7618,0,0,1700,0,591,5021,6200,4185,600,100,500,100,0,0,0,0,997,0,0,19200,5100,0,0,700,300,0,0,749,400,0,16859,4635,0,0,1700,500,0,0,1275,0,0,200,100,3000,0,0,200,200,6357,0,400,32831,0,0,0,0,2100,699,0,0,2300,0,900,100,1100,1400,0,1000,0,100,200,6955,265,2003,756,700,11769,0,400,1424,382,0,200,0,300,4100,1234,275,100,2400,100,1310,53530,6309,0,0,100,100,0,360,100,800,2000,132,7655,100,48034,1925,200,0,0,2400,0,0,4495,800,625,915,1759,400,4700,3200,22250,0,200,0,300,100,36447,0,0,400,600,0,2000,1000,23417,0,200,300,0,10798,0,1500,100,21132,100,1556,28528,200,700,12600,110527,0,6973,52506,1100,0,12216,300,1588,0,800,1600,2000,200,6693,0,14377,0,1000,1400,1000,0,20686,4179,7145,0,0,0,98923,400,200,0,2320,1000,0,1300,345,2029,122,0,2106,19350,36320,0,700,167,1200,1302,1100,0,101,6600,5790,8744,600,0,2300,0,880,0,800,600,0,0,3071,414,2885,0,64636,874,100,1393,300,900,300,0,2116,200,42512,30720,8700,24436,190283,24081,22530,37797,12666,16043,9589,5268,0,13000,0,3900,0,10255,1200,0,0,0,102,2037
