"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"A",0,32902,600,865680,16400,50455,0,187562,61548,154657,3400,6300,7300,63246
"AA",0,540371,6462,4461975,438978,334986,0,843413,271548,527228,408690,40800,134212,476784
"AAIT",0,0,0,500,0,0,0,0,0,0,0,0,0,0
"AAME",0,0,0,995,0,500,0,0,421,1100,0,0,0,0
"AAN",0,17832,200,379208,2726,24700,0,38157,35350,26108,4800,1300,1500,31245
"AAON",0,100,0,8675,400,400,0,0,1100,3700,0,0,100,400
"AAP",0,22143,100,136412,6200,19021,0,44761,34020,29668,700,2300,3772,20825
"AAPL",0,167157,6011,5751322,126654,495337,3250,0,498601,815790,2246,500,51829,343639
"AAT",0,1200,100,27690,500,2717,0,5500,4814,900,100,304,809,2000
"AAU",800,1900,550,47068,700,8000,0,0,1300,1000,700,0,500,2200
"AAV",0,7155,0,17190,1900,3200,0,14500,6153,5300,100,500,1800,5400
"AAWW",0,15362,100,64508,1300,11222,0,0,6701,17606,1600,300,1500,6316
"AAXJ",0,1300,0,49664,500,4300,0,0,38516,24463,0,0,800,19941
"AB",0,4000,100,81147,700,20334,0,6345,4800,6353,700,800,1400,3196
"ABAX",0,4100,0,41805,12200,4300,0,0,4144,10978,700,200,800,5700
"ABB",0,47742,700,295899,28776,47275,0,133560,60728,89352,7999,14400,17049,103955
"ABBV",0,52218,8848,2839911,64529,193201,0,197064,196264,367661,9000,2200,47561,159263
"ABC",0,23723,400,476655,17304,58502,0,131563,58824,114755,5400,18700,9403,112269
"ABCB",0,0,0,4488,100,4597,0,0,800,600,0,0,100,600
"ABCD",0,0,0,2500,0,0,0,0,0,100,0,0,0,0
"ABCO",0,24400,200,60047,1700,4000,0,0,6022,18625,200,400,1100,15100
"ABFS",0,2700,100,114044,3717,12146,0,0,9684,21638,800,100,2300,10800
"ABG",0,40100,0,36487,2600,17149,0,9411,7371,4263,100,100,500,4521
"ABI",0,0,0,700,0,0,0,0,300,0,0,0,0,0
"ABIO",0,2500,900,180025,4200,16007,0,0,4467,29728,0,0,2400,14869
"ABM",0,1900,100,15128,600,7437,0,14976,7165,10593,500,1100,12804,2710
"ABMD",0,1500,0,29582,1700,2934,0,0,5200,21474,100,0,2691,3500
"ABR",0,2200,200,46833,6436,4997,0,24700,2200,9200,0,300,1300,4100
"ABT",0,101969,4834,1051255,52967,133919,0,215250,148351,277112,28043,7600,25363,129481
"ABTL",0,100,0,12300,0,1100,0,0,3300,1300,0,0,0,400
"ABV",0,29742,600,534794,27800,97112,0,207283,91066,130941,13712,13900,7992,54931
"ABX",0,380828,7231,4978640,282372,688194,0,1150578,699661,587780,102633,120400,85363,748804
"ACAD",0,18610,9500,2066969,34327,544219,0,0,163572,523986,3694,1200,27087,267164
"ACAS",5800,11500,400,391793,31890,32895,0,0,40089,180544,1500,700,11516,99782
"ACAT",0,17100,200,127293,200,1700,0,0,8143,17724,200,0,900,2800
"ACC",0,17614,400,518810,6400,17620,0,87445,35180,57681,3900,1200,7271,37093
"ACCL",0,1400,100,96612,1000,2899,0,0,15088,12772,100,300,700,4100
"ACCO",0,15300,600,204396,32862,52767,0,54761,25600,38446,31700,1100,3600,43729
"ACE",0,24900,3600,625489,10600,58595,0,97467,83799,85742,10600,1600,9114,73559
"ACET",0,200,100,7855,100,400,0,0,1600,4494,0,0,100,900
"ACFC",0,300,0,6636,0,100,0,0,0,200,0,0,0,0
"ACFN",0,100,0,8753,200,1736,0,0,4500,15420,0,0,100,300
"ACG",0,3000,100,260539,5780,6647,0,12719,3110,1891,2400,500,9421,1300
"ACGL",0,7342,200,56192,5305,14544,0,0,18608,52429,600,100,2400,11271
"ACH",0,200,0,17931,900,3500,0,14202,6825,4300,100,0,300,6700
"ACHC",0,4100,200,198118,7800,10360,0,0,5200,12056,1000,400,6300,11400
"ACHN",0,11956,5600,819630,15845,36680,0,0,70682,100271,300,200,3400,54052
"ACI",0,463377,30296,8225305,335063,1556345,0,1225450,1048200,1143942,46485,58000,192890,1146904
"ACIM",0,0,0,0,0,0,0,0,1060,0,0,0,0,0
"ACIW",0,1600,200,65707,1400,2664,0,0,6637,9871,200,200,900,3111
"ACLS",0,700,0,78483,3732,8100,0,0,4600,17162,300,300,800,12883
"ACM",0,25501,100,249697,15490,30085,0,53191,32397,47567,3500,300,5700,24974
"ACMP",0,2700,200,113177,800,28994,0,24203,20216,23577,0,0,300,7097
"ACN",0,28818,1300,518924,19905,97159,0,162027,102964,169772,400,16500,13994,67073
"ACNB",0,0,0,1303,0,200,0,0,0,0,0,0,0,0
"ACO",0,2300,0,9101,400,500,0,6967,2900,1200,0,0,740,1209
"ACOR",0,6900,500,93905,23160,23950,0,0,17500,48649,700,300,2100,19775
"ACP",0,700,0,24678,200,1500,0,7180,10935,1504,0,0,500,1000
"ACPW",0,0,0,8550,600,350,0,0,200,392,0,0,0,200
"ACRE",0,100,0,8352,0,1900,0,400,1200,100,0,0,0,0
"ACRX",0,2000,630,194373,3800,29900,0,0,24095,45777,0,300,2000,22103
"ACST",0,0,0,1300,0,0,0,0,100,2300,0,0,0,0
"ACT",0,9833,300,187178,2700,37747,0,31447,35941,32100,3000,800,8389,36629
"ACTG",0,11647,1900,349118,15505,107399,0,0,122573,104442,14500,0,12761,130951
"ACTS",0,400,0,94711,10700,13800,0,0,4914,17119,0,0,800,15914
"ACTV",0,0,0,289662,3700,52762,0,43859,19841,36419,7778,100,2074,13656
"ACU",0,0,0,800,0,0,0,0,0,0,0,0,0,0
"ACUR",0,300,1700,430331,1800,97505,0,0,23477,123036,0,0,1487,16158
"ACW",0,120,0,30832,700,1653,0,9700,3500,3400,400,0,700,1400
"ACWI",0,1500,0,98089,7297,6000,0,0,98654,68668,100,100,4040,85475
"ACWV",0,0,0,52548,200,19600,0,0,9561,1800,0,0,0,3974
"ACWX",0,300,0,51932,500,1400,0,0,14828,14169,0,0,300,7555
"ACXM",0,3100,100,33074,700,10380,0,0,8500,25873,200,0,1100,8400
"ACY",0,0,0,950,0,0,0,0,0,0,100,0,0,0
"ADAT",0,0,0,2300,0,200,0,0,200,0,0,0,0,0
"ADBE",0,4200,1557,331587,18128,62498,0,0,99142,228599,4600,200,8669,100940
"ADC",0,3000,100,27540,100,7760,0,3100,3080,1461,0,100,500,1800
"ADEP",0,0,0,15668,300,2200,0,0,5000,3279,0,0,0,300
"ADES",0,700,0,9561,0,300,0,0,2867,600,0,0,200,500
"ADGE",1700,0,0,7812,0,100,0,0,200,300,0,0,0,0
"ADI",0,14200,1900,519837,24600,60076,0,0,58539,195657,9500,400,1210,72801
"ADK",0,700,0,28906,1400,1300,0,0,3900,910,0,0,1800,1900
"ADM",0,34382,4423,650693,78265,101209,0,242159,81274,253281,87107,36900,11394,159926
"ADNC",0,1600,100,29712,1000,5208,0,0,1751,9495,100,0,100,1100
"ADP",0,6995,100,174912,17100,14274,0,0,32994,115528,1000,200,2034,30390
"ADRA",0,0,0,600,0,0,0,0,0,0,0,0,0,0
"ADRD",0,0,0,2496,0,0,0,0,0,0,0,0,0,0
"ADRE",0,0,0,12369,0,479,0,0,700,2056,0,0,0,1327
"ADRU",0,0,0,2229,0,0,0,0,0,0,0,0,0,0
"ADS",0,16400,1700,232996,6450,27908,0,28395,31374,34450,0,1000,5500,11628
"ADSK",9700,15682,400,892902,14500,80806,0,0,75647,166394,4200,0,4900,96528
"ADT",0,5800,1200,448367,15698,48048,0,48028,31096,95015,4700,200,3300,48201
"ADTN",0,3900,500,254220,10303,54962,0,0,65779,210561,4300,0,14000,36888
"ADUS",0,800,100,30941,200,9513,0,0,600,4573,0,0,900,500
"ADVS",0,1600,0,26232,1100,2700,0,0,2500,10163,200,0,1800,2327
"ADX",0,100,0,69661,400,13812,0,8486,5835,1080,0,100,800,500
"AE",700,100,0,1850,0,800,0,0,1200,600,100,0,200,300
"AEB",0,0,0,11032,0,100,0,1925,500,0,0,0,0,100
"AEC",0,2200,1100,41418,800,4200,0,19550,19002,14745,700,300,600,5400
"AED",0,0,0,14714,0,0,0,3130,100,0,0,400,0,0
"AEE",0,30307,1100,442194,13979,25292,0,65196,71510,71724,6800,3500,7500,51662
"AEF",0,300,0,29583,300,2744,0,12403,2420,826,0,500,100,514
"AEG",0,23845,300,242303,44900,13298,0,34553,18283,20212,5384,3100,9200,28700
"AEGN",0,800,0,18829,400,43548,0,0,27833,42638,200,200,9854,4300
"AEGR",0,28008,100,68627,5900,12300,0,0,21587,26742,1200,400,3100,14907
"AEH",0,0,0,16086,0,300,0,8245,4898,1293,0,0,300,300
"AEHR",0,0,0,2476,0,1876,0,0,100,0,0,0,0,0
"AEIS",0,12600,500,35423,3382,32653,0,0,10220,24449,400,500,5327,9696
"AEK",0,0,0,34260,400,470,0,6733,3200,572,0,0,0,700
"AEL",0,1900,0,88956,3500,19701,0,109743,15500,19665,1700,0,7400,14910
"AEM",0,38000,700,170362,15000,42504,0,109164,35973,76368,4600,800,4100,31594
"AEO",0,35153,900,592360,46539,100365,0,114652,103481,127813,9153,3700,14406,93216
"AEP",0,24303,0,571206,26491,65290,0,87001,83830,170976,5000,5300,7051,167881
"AEPI",0,0,100,1356,0,200,0,0,400,597,500,0,0,1000
"AER",0,1200,0,54612,5500,48939,0,37677,17776,15800,1500,700,4015,9400
"AERL",0,1900,100,42322,200,16740,0,0,3100,8145,0,0,2800,1553
"AES",0,96362,500,848261,137289,112335,0,460749,128790,356285,18300,37600,49570,335352
"AET",0,37571,300,608709,35062,47470,0,57828,42772,150016,2700,1600,4900,57603
"AETI",0,100,0,2025,100,943,0,0,100,600,0,0,0,100
"AEV",0,0,1600,43806,300,100,0,6300,500,100,0,0,0,0
"AEY",0,0,0,2924,0,409,0,0,1100,0,0,0,0,0
"AEZS",0,1500,0,79231,295,500,0,0,5869,3600,0,0,1200,5400
"AF",0,3324,800,98979,8898,3100,0,47881,17063,12748,1500,100,3400,14657
"AFA",0,0,0,5928,0,0,0,2040,400,0,0,0,400,0
"AFAM",0,500,400,14002,100,10802,0,0,2229,8855,0,0,200,3300
"AFB",0,0,179,29706,0,6221,0,1000,500,0,0,0,0,0
"AFC",0,0,0,7748,0,0,0,1585,100,0,0,0,0,0
"AFCB",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"AFCE",0,3200,0,18834,100,3398,0,0,3600,8000,400,0,2700,2200
"AFFX",0,13100,400,233438,12000,18246,0,0,39557,63062,3900,1200,5866,31408
"AFG",0,4300,0,39873,7232,7600,0,34466,23601,18308,4400,100,1500,12414
"AFH",0,100,0,34800,200,1500,0,0,400,9800,0,0,1100,500
"AFK",0,0,0,13343,0,0,0,0,4642,2000,0,0,0,2172
"AFL",0,29571,1200,810139,38450,80499,0,174669,100292,210576,11489,5500,7885,144299
"AFM",0,0,0,900,0,0,0,200,0,0,0,0,0,0
"AFOP",0,600,400,15891,400,1500,0,0,700,12204,0,0,100,300
"AFQ",0,0,0,3630,0,0,0,700,1400,0,0,0,0,0
"AFSD",0,0,0,10227,0,0,0,6954,400,285,0,0,700,0
"AFSI",0,18229,400,331020,13000,14961,0,0,97410,61046,700,500,4400,36972
"AFT",0,200,0,25045,0,500,0,2954,1900,0,0,0,700,100
"AFW",0,0,0,3228,0,200,0,2720,0,100,0,0,0,0
"AG",0,24606,300,296379,5132,48362,0,50969,75259,71000,2812,3130,13792,41606
"AGA",0,0,0,2000,0,300,0,0,1260,300,0,0,0,0
"AGC",0,200,0,31025,0,1600,0,4200,2300,1400,200,0,500,200
"AGCO",0,2900,400,216004,3463,33597,0,29345,19291,47265,300,0,1300,17407
"AGD",0,1650,200,78667,3200,2850,0,10700,6950,2400,400,100,1200,1000
"AGEN",0,500,0,74594,1200,6229,0,0,25726,11525,0,0,200,1900
"AGF",0,0,0,0,0,0,0,0,494,0,0,0,0,0
"AGG",0,2700,400,318305,2835,15842,0,0,30759,14086,0,1000,2200,25202
"AGI",0,0,0,9521,0,0,0,600,0,1600,0,0,0,100
"AGII",0,1000,0,5500,100,600,0,0,300,8726,0,0,0,2400
"AGIIL",0,0,0,17707,200,0,0,0,600,1696,0,0,0,300
"AGLS",0,0,0,186,0,0,0,0,0,0,0,0,0,0
"AGM",0,100,100,7756,200,4984,0,4200,5400,2800,100,0,0,400
"AGN",0,29651,1800,184268,8874,42152,0,43573,25301,34435,2500,2300,9300,32750
"AGNC",0,39436,4000,1495451,47724,74637,0,0,130433,391494,9927,900,18930,158708
"AGNCP",0,0,100,10370,0,200,0,0,0,721,0,0,0,0
"AGO",0,10656,100,291831,29230,57084,0,62397,34932,85381,3500,900,7500,40025
"AGOL",0,0,0,400,0,0,0,0,0,0,0,0,0,0
"AGQ",0,3500,1150,483675,11159,37719,500,0,34765,42950,100,0,8389,25698
"AGRO",0,1100,200,45842,1400,2163,0,18156,6400,4500,200,0,2000,3100
"AGU",0,26628,0,179929,5500,23976,0,17106,17864,53105,1300,300,5200,34889
"AGX",5500,800,1900,8436,0,1700,0,0,2400,4625,0,0,300,1000
"AGYS",0,800,0,21767,100,3100,0,0,3400,8100,0,0,700,2900
"AGZ",0,0,0,16369,0,0,0,0,1394,0,0,0,0,0
"AH",0,800,500,207910,2800,17029,0,56064,21361,23358,1000,100,300,12499
"AHC",0,1400,0,15258,100,1000,0,500,4900,2200,0,100,500,300
"AHGP",0,0,0,2596,0,371,0,0,570,919,400,0,0,0
"AHL",0,16700,100,175703,2800,13600,0,48518,20200,41089,2900,2600,2701,26814
"AHS",0,18040,700,102602,4700,29632,0,23200,17079,21491,1500,2900,2803,7700
"AHT",0,2401,4039,44056,2000,18960,0,27773,12400,37182,300,100,9500,7195
"AHY",0,0,0,2300,0,0,0,0,1000,0,0,0,0,1091
"AI",0,2430,500,69827,2899,13602,0,24646,17615,10568,300,100,800,2100
"AIA",0,0,0,3193,0,0,0,0,1960,0,0,0,0,0
"AIB",0,0,900,22165,100,0,0,10018,4000,1000,0,100,500,600
"AIF",0,400,1450,39066,100,4800,0,20630,250,1050,0,0,330,5400
"AIG",0,249311,15500,6417397,339515,875136,100,665470,664763,1322731,79595,182984,70999,717639
"AIMC",0,400,200,18945,1100,6132,0,0,1400,4100,0,0,300,2200
"AIN",0,2900,0,7685,200,300,0,5900,1200,1335,0,300,700,1400
"AINV",1300,19300,0,419062,25089,25964,0,0,41467,137789,7266,4200,16492,95122
"AIQ",0,0,0,4863,100,1517,0,0,300,400,0,0,200,300
"AIR",0,5300,100,42936,300,10223,0,14059,7600,6791,1800,600,800,7781
"AIRM",0,3500,800,387260,5491,27396,0,0,70104,84676,2500,0,2000,14800
"AIT",0,2100,200,15595,0,1200,0,10509,3700,4500,200,500,100,6000
"AIV",0,12400,300,169470,12500,43988,0,76308,38274,88188,14800,700,11068,29100
"AIXG",0,5600,300,91347,9900,21090,0,0,13800,19300,0,0,5470,26634
"AIZ",0,27746,200,63591,4582,44536,0,36961,38446,36928,700,100,2600,30170
"AJB",0,0,0,0,0,0,0,0,1500,0,0,0,0,0
"AJG",0,9120,500,92008,5661,7800,0,48508,13379,25635,3339,300,7500,22300
"AKAM",0,9477,0,630145,53287,172942,4000,0,154426,345446,7800,800,13875,253159
"AKG",900,4100,0,36800,700,8100,0,0,2500,6500,400,10100,600,900
"AKP",0,0,0,4101,0,0,0,5280,0,300,0,0,0,100
"AKR",0,4900,100,19564,700,3237,0,14420,6859,6259,300,400,795,6472
"AKRX",0,26992,0,329321,7100,50894,0,0,17513,75558,1300,0,2400,25931
"AKS",0,104551,11400,2650593,64829,220256,0,224608,299273,234432,7200,13800,62040,296336
"AL",0,1600,1100,65611,4500,9699,0,48462,14985,14663,2700,200,600,5860
"ALB",0,9700,0,171167,3400,32050,0,41366,35011,49466,2800,300,5800,24229
"ALCO",0,100,0,1000,0,0,0,0,0,100,0,0,100,0
"ALCS",0,0,0,500,0,0,0,0,0,100,0,0,0,0
"ALD",0,0,0,42385,357,300,0,0,2537,400,0,0,100,100
"ALDW",0,25447,200,88503,7800,25827,0,37919,20203,19265,0,0,2800,25770
"ALE",0,5700,300,29069,1400,23157,0,26993,4537,4246,200,100,1100,11100
"ALEX",0,1500,0,14899,200,1300,0,10386,4800,1900,0,0,100,1399
"ALFA",0,0,0,11700,0,0,0,0,3210,0,0,0,0,300
"ALG",0,100,0,6248,0,300,0,1250,600,100,0,0,0,0
"ALGN",0,4962,100,393457,19700,113218,0,0,25583,80558,800,400,8230,39886
"ALGT",0,1300,500,35974,300,1000,0,0,8270,15556,200,0,300,4068
"ALIM",0,0,0,6771,0,0,0,0,0,0,0,0,0,0
"ALJ",0,26024,679,78207,3300,13524,0,38727,17710,20344,900,400,5002,14499
"ALK",0,13900,500,145221,2500,22968,0,48622,34966,68946,900,1100,6000,15428
"ALKS",0,7900,650,566542,22362,53282,0,0,56040,201270,1600,100,9300,72159
"ALL",0,22806,500,341977,16692,80785,0,107619,86665,218176,5000,3400,5000,81083
"ALLT",0,1700,200,136943,6100,26921,0,0,20979,60774,800,0,1200,21832
"ALN",0,0,0,1100,0,0,0,0,100,100,0,0,0,0
"ALNY",0,4900,300,158437,4902,5533,0,0,19369,27700,200,100,600,8140
"ALOG",0,300,0,19455,200,634,0,0,2300,2901,0,0,300,900
"ALOT",0,0,400,234,0,100,0,0,0,0,0,0,0,0
"ALR",0,6400,200,96351,3800,13718,0,23800,35846,17100,1600,1200,4050,28111
"ALSK",0,700,0,76934,900,4700,0,0,5420,3720,0,100,1101,7550
"ALSN",0,2100,300,63495,1000,13761,0,12381,11600,24398,1000,0,700,4504
"ALTI",0,0,0,5566,0,107,0,0,1093,700,0,0,0,100
"ALTR",1700,9179,1200,1123254,21540,164551,0,0,197638,209126,1000,1200,21200,185640
"ALTV",1460,0,0,9802,0,0,0,0,700,950,0,0,0,300
"ALU",0,205134,4090,2952100,280783,24150,0,515486,265338,204040,0,2400,80151,190737
"ALV",0,20400,300,343437,4100,17762,0,41888,30522,24115,3800,1400,15403,34546
"ALVR",0,0,0,6400,0,100,0,0,1322,300,0,0,0,100
"ALX",0,0,0,600,0,0,0,1474,100,300,800,0,0,100
"ALXA",0,200,100,42109,200,5851,0,0,900,5184,0,0,875,4400
"ALXN",0,38800,500,346865,7100,64646,0,0,57100,132433,2200,100,15161,37629
"AMAG",0,2800,400,98627,1900,3900,0,0,5900,10459,0,0,880,2800
"AMAP",0,1600,800,46822,1000,17888,0,0,7706,14680,700,200,700,1194
"AMAT",12952,99698,2200,1769760,254012,362562,6300,0,299579,679719,9409,24566,89001,602851
"AMBA",0,1500,200,197866,2900,16741,0,0,19130,32156,0,200,1100,6611
"AMBT",0,100,0,4600,0,0,0,0,0,500,0,0,0,200
"AMCC",0,6443,300,71614,6429,53052,0,0,16614,48453,700,800,8200,20274
"AMCF",0,0,0,0,0,0,0,0,0,300,0,0,0,0
"AMCN",0,0,0,1970,400,4970,0,0,2366,5416,0,0,0,0
"AMCX",0,5300,600,156144,3361,16259,0,0,31480,35261,200,600,4450,17289
"AMD",0,437997,700,4957113,290348,393207,0,889572,246132,788549,52431,23000,179951,281701
"AME",0,8500,200,685191,6997,24388,0,73485,59680,62074,5200,5200,2960,45042
"AMED",0,4900,600,43869,2400,11500,0,0,6500,27765,500,200,1300,14185
"AMG",0,9019,0,93683,5900,12820,0,13671,12297,17823,100,300,1900,10647
"AMGN",0,23011,4500,1122703,21800,96873,0,0,124203,359304,900,300,23441,102036
"AMIC",0,0,0,489,0,0,0,0,0,0,0,0,0,0
"AMID",0,0,0,14273,0,4133,0,2300,2100,500,0,0,200,100
"AMJ",0,6510,500,379724,13089,4500,0,0,47350,13963,0,600,5400,10349
"AMKR",0,5800,100,427756,24213,16636,0,0,29371,135066,3500,0,8600,56217
"AMLP",0,239134,600,1947682,114564,62748,0,0,93221,41812,105,1300,59308,82058
"AMNB",0,0,0,1960,0,2690,0,0,1100,1801,0,0,0,200
"AMOT",0,0,0,5200,0,300,0,0,0,443,0,0,0,0
"AMOV",0,0,0,494,0,0,0,0,0,500,0,0,0,0
"AMP",0,56856,300,282443,9200,42826,0,76995,63818,76270,3800,4200,14174,80687
"AMPE",0,1500,0,95181,500,84462,0,0,9848,11910,0,0,500,800
"AMPS",0,0,0,319,0,0,0,0,0,0,0,0,0,0
"AMRB",0,0,0,103717,0,0,0,0,0,4700,0,0,0,0
"AMRC",0,1600,0,33516,1402,5500,0,5406,9694,4050,300,0,1100,4934
"AMRE",0,0,0,8723,0,0,0,300,300,100,0,0,0,100
"AMRI",0,28125,300,318914,5800,91802,0,0,45868,71621,1400,0,4000,33682
"AMRN",13070,15618,10500,1567973,54817,147770,0,0,182463,459488,2400,600,9655,137734
"AMRS",0,1300,0,47541,1548,10571,0,0,4903,38002,400,0,2600,9820
"AMS",300,0,0,1300,100,300,0,0,100,0,0,0,0,0
"AMSC",0,4900,0,186513,3747,15907,0,0,19024,60674,200,200,2900,18374
"AMSF",0,3499,0,11975,1707,3987,0,0,3700,11793,0,100,700,2983
"AMSG",0,1600,0,40578,1200,9540,0,0,6700,10399,200,0,2600,5925
"AMSWA",0,1082,0,11508,300,400,0,0,100,1300,0,0,300,1128
"AMT",0,29453,1000,314451,16500,61981,0,89641,67615,98646,7500,3700,15766,57800
"AMTD",0,10504,1200,261257,32826,17712,0,93862,50959,81179,2300,7700,17400,82159
"AMTG",0,3500,0,78996,3600,15623,0,25125,26085,26269,3200,0,4600,6500
"AMU",0,0,0,1770,0,100,0,0,400,2243,0,0,0,0
"AMWD",0,3600,200,13635,100,1600,0,0,3000,6862,100,200,2100,1880
"AMX",0,165563,1150,1932430,82631,341594,0,467663,189248,279794,13000,47200,82236,549395
"AMZN",0,38650,6300,686991,18964,64275,0,0,65235,137615,0,0,17916,52624
"AN",0,6900,300,132534,3379,34794,0,51875,41769,41058,3300,300,3100,15390
"ANAC",0,1100,100,107629,700,11500,0,0,9700,21199,200,0,1000,12581
"ANAD",0,1700,0,50375,2400,3719,0,0,4500,10189,0,300,2945,11260
"ANAT",0,200,0,8925,100,0,0,0,100,3099,0,0,0,300
"ANCX",0,500,0,26623,300,800,0,0,1500,5700,0,0,0,1900
"AND",0,0,0,1710,0,0,0,0,0,0,0,0,0,0
"ANDAW",0,0,0,0,0,0,0,0,0,48900,0,0,0,0
"ANDE",0,1100,0,21348,0,700,0,0,1800,9101,0,0,100,2302
"ANEN",0,300,0,24833,200,1130,0,0,1310,5600,0,0,500,2499
"ANF",0,14420,500,261193,6463,49644,0,47895,87307,53801,5698,3200,5700,35344
"ANFI",0,500,0,18235,400,300,0,5451,3700,1200,0,0,500,700
"ANGI",0,3900,900,489486,10453,92269,0,0,25407,84244,8600,400,12872,35189
"ANGL",0,0,0,1044,0,0,0,0,100,0,0,0,0,0
"ANGO",0,2210,100,418396,1900,2400,0,0,10000,20918,0,0,200,5871
"ANH",0,17998,1700,417253,22245,17431,0,121949,25669,22129,3322,6900,12564,33580
"ANIK",0,400,0,23851,0,1205,0,0,800,2449,0,0,300,100
"ANLY",0,100,0,1500,0,0,0,0,330,0,0,0,0,0
"ANN",0,7000,200,58242,8500,36273,0,27624,21811,23411,3400,0,4900,11340
"ANR",0,181325,17268,3691812,130263,411242,0,718094,575035,719335,42582,61168,120436,337434
"ANSS",0,6600,400,64813,2300,10164,0,0,16436,24378,700,0,4250,11500
"ANTH",0,6800,5300,432393,32570,39646,0,0,14800,56409,0,0,11800,5000
"ANV",51801,20504,2626,288654,29417,46264,0,0,75716,101910,1800,14431,1600,39831
"ANW",0,200,0,106273,100,4617,0,3685,5852,2736,100,0,600,600
"AOA",0,1200,0,43273,0,0,0,0,1500,0,0,0,3300,300
"AOD",0,14523,3914,515138,27590,64977,0,24203,11188,11300,7100,0,14292,4834
"AOI",0,1600,100,76002,2100,1200,0,9396,6618,6977,100,400,1500,3364
"AOK",0,460,0,7340,0,0,0,0,1700,0,0,0,600,0
"AOL",0,13529,0,97989,4200,60111,0,36688,19359,31859,1900,500,2000,20100
"AOM",0,251,0,17422,0,100,0,0,900,0,0,0,0,0
"AON",0,7100,100,318816,36000,83098,0,80878,65108,78469,5900,700,3500,64025
"AOR",0,974,0,6793,0,900,0,0,300,0,0,0,6275,100
"AOS",0,18247,900,218942,11160,13400,0,39771,22477,53780,2000,100,8000,15882
"AOSL",0,100,200,24667,0,1200,0,0,1100,7782,0,0,100,200
"AP",0,100,0,9500,0,100,0,786,100,900,0,0,0,0
"APA",0,44500,4100,944524,39300,115135,0,215316,96938,164776,4400,1700,44835,121063
"APAGF",0,100,0,4384,100,600,0,0,200,1300,0,0,0,700
"APAM",0,806,0,32340,200,2600,0,700,4700,6400,100,0,200,900
"APB",0,0,0,10232,0,0,0,4240,500,0,0,0,0,2300
"APC",0,40488,2700,628583,15100,90521,0,138505,87456,230419,900,3827,25412,73798
"APD",0,28274,1300,565776,12295,102724,0,103468,68774,72542,1400,2162,3800,55958
"APEI",0,2000,100,18581,100,2500,0,0,6000,13842,1500,200,1200,7164
"APF",0,100,0,5069,0,0,0,1237,2033,100,0,0,0,0
"APFC",0,400,100,3350,100,2563,0,0,1300,3216,100,0,0,300
"APH",0,11568,100,61120,6282,13780,0,39513,17106,25136,1600,400,3300,10314
"API",0,0,0,1159,0,300,0,0,0,200,0,0,0,0
"APL",0,11300,0,370490,4500,39556,0,46733,26054,23043,3550,0,6600,24026
"APO",0,39669,800,232839,17085,36285,0,21056,25540,21225,1400,1800,2900,18130
"APOG",0,24266,0,264643,5276,25958,0,0,13259,21967,400,100,2410,13190
"APOL",6000,11460,800,386793,32364,39487,0,0,87449,179270,8500,400,13900,121744
"APP",26956,3000,100,173823,2853,9047,0,0,8332,21389,700,700,2200,5903
"APPY",0,0,0,59827,400,800,0,0,100,20132,0,0,0,1500
"APRI",0,1500,200,208566,1100,21301,0,0,6634,14268,0,0,1389,3250
"APSA",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"APT",500,0,0,43232,300,0,0,0,2400,0,100,0,100,100
"APTS",100,0,0,5629,0,0,0,0,100,299,0,0,0,0
"APU",0,1600,0,40576,200,5008,0,4055,4000,1624,100,0,0,1648
"APWC",0,0,0,1348,0,0,0,0,0,500,0,0,0,0
"AQQ",0,0,0,13216,100,550,0,0,200,500,0,0,0,0
"ARAY",0,2300,500,236706,17591,15399,0,0,66240,75404,500,300,4966,35666
"ARB",0,8300,100,114526,4800,3600,0,38076,4000,13797,1000,0,2802,9077
"ARC",0,2500,0,72385,400,4300,0,11000,8520,6100,500,0,0,2700
"ARCC",7800,37432,2373,1056489,42942,55309,0,0,74447,192966,300,1600,15300,102305
"ARCI",0,0,0,1000,0,0,0,0,0,0,0,0,0,0
"ARCO",0,31709,500,155585,14100,108588,0,38048,30803,50012,300,500,10100,33262
"ARCP",0,8816,855,393066,20992,110727,0,0,58295,124500,1200,4000,11931,52205
"ARCW",0,0,0,1300,0,700,0,0,0,300,0,0,0,0
"ARDC",0,4950,100,57442,200,200,0,25920,3602,3700,0,788,1500,200
"ARDNA",0,0,0,300,0,0,0,0,0,0,0,0,0,0
"ARE",0,4100,100,180193,1482,10818,0,74387,14570,38387,1100,200,4500,14844
"AREX",0,7700,200,165644,13100,9830,0,0,47693,93441,4500,400,6600,32584
"ARG",0,12106,200,76985,4000,30231,0,15160,21064,24015,1100,200,4580,16635
"ARGT",0,0,0,500,0,0,0,0,0,0,0,0,0,0
"ARI",0,7900,400,85168,1200,13816,0,22721,11770,18137,300,0,1200,6600
"ARIA",1400,14900,1500,490630,49488,198013,0,0,174757,191889,3300,2000,14699,156174
"ARII",0,6500,100,50556,300,10499,0,0,4700,8000,0,0,1000,3200
"ARK",0,100,0,67189,1200,3400,0,14099,13235,1300,400,0,1182,2400
"ARKR",0,0,0,350,0,0,0,0,100,400,0,0,100,0
"ARL",0,0,0,6970,0,1300,0,2650,1300,0,0,0,0,200
