"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"KNDI",0,818,0,38762,400,9146,0,0,300,7020,100,0,300,400
"KNL",0,1000,400,24607,1100,5900,0,24252,9035,6955,1100,100,2500,7592
"KNM",0,200,0,2628,0,0,0,5000,1100,100,0,0,0,300
"KNOP",0,1450,0,22748,100,300,0,3553,2300,500,0,0,400,500
"KNOW",0,0,0,0,0,0,0,0,1300,0,0,0,0,0
"KNX",0,5900,900,107385,5100,21384,0,39270,15937,16616,1600,100,1400,19941
"KO",0,144389,2400,1920433,101405,418607,0,760273,331817,668007,75197,109500,41715,378598
"KOF",0,3100,200,18004,500,1500,0,20311,3300,5273,0,0,400,3400
"KOG",0,99973,2900,1998698,88097,267227,0,437256,218563,371567,16629,29200,47449,237218
"KOL",0,200,0,46006,100,800,0,0,18281,3300,0,0,0,2573
"KOLD",0,0,0,19487,0,10700,0,0,900,4900,0,0,0,400
"KONA",0,100,0,1367,0,200,0,0,250,400,0,0,0,0
"KONE",0,0,0,568,0,0,0,0,0,0,0,0,0,0
"KONG",0,500,0,23785,100,4318,0,0,500,1900,0,0,200,710
"KOOL",0,0,0,1448,0,400,0,0,100,1028,0,0,0,0
"KOP",0,800,0,6315,0,1300,0,2600,1000,974,0,0,0,700
"KOPN",0,500,0,22056,900,600,0,0,5661,6652,100,100,300,1900
"KORS",0,39418,2300,955169,27906,154526,0,166413,171391,132936,3700,2100,12563,161286
"KOS",0,3300,400,57860,3000,3500,0,15965,15420,12406,1900,500,1500,10600
"KR",0,36148,1900,1072242,60087,95097,0,286313,134886,273428,7100,25700,13622,144833
"KRA",0,1700,0,17501,1800,3000,0,17186,5561,8756,200,600,1131,500
"KRC",0,9400,300,36315,2077,5300,0,23834,27922,11974,2021,1400,4185,10431
"KRE",0,8154,800,200533,5872,49501,0,0,71294,16969,600,2600,8400,44284
"KRFT",14305,18502,1470,700564,12130,24574,0,0,62316,149142,1600,500,8094,110505
"KRG",0,31400,200,551599,7900,24600,0,55447,20272,21200,2669,800,3000,26900
"KRNY",0,0,0,44368,0,200,0,0,1000,3992,0,0,0,1200
"KRO",0,3100,500,41860,600,10606,0,56434,14966,10263,700,400,900,6557
"KROO",0,0,0,5194,200,0,0,0,2744,1700,0,0,0,700
"KS",0,3727,0,82238,2600,24200,0,25624,13630,15837,1200,200,2900,4300
"KSM",0,0,0,5247,0,4604,0,639,1163,200,0,0,0,300
"KSS",0,31848,500,382219,15849,65552,0,102038,55228,95777,4300,5000,7400,47210
"KST",0,0,0,2750,0,0,0,158,200,0,0,0,0,300
"KSU",0,14338,2300,154551,6956,17809,0,50781,36451,20797,0,3800,2300,16587
"KT",0,15591,0,75638,4316,10200,0,36215,30823,13674,3500,600,3200,17454
"KTCC",0,200,0,5808,0,800,0,0,800,1300,0,0,100,0
"KTEC",0,0,0,526,0,0,0,0,1605,200,0,0,0,0
"KTF",0,300,0,24532,100,5560,0,4701,2700,1000,0,0,900,2700
"KTN",0,0,0,2250,0,0,0,0,0,0,0,0,0,0
"KTOS",0,1700,0,88645,2200,3300,0,0,4200,10854,700,0,5000,5600
"KTP",0,200,0,7350,100,200,0,860,500,100,0,0,0,0
"KUTV",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"KVHI",0,0,0,3103,0,700,0,0,831,2347,0,0,0,1600
"KW",0,700,0,130763,5800,6000,0,23184,11608,9300,1900,0,1609,7261
"KWK",0,23691,800,471677,21451,48248,0,135993,61533,101751,1000,10400,6611,37592
"KWN",0,0,0,5353,0,850,0,500,0,0,0,0,0,0
"KWR",0,300,0,12911,106,400,0,2882,900,5100,0,100,100,1400
"KWT",0,0,0,305,0,0,0,0,2036,0,0,0,0,0
"KXI",0,200,0,66201,100,300,0,0,10849,1054,0,0,0,1600
"KYE",0,500,0,33838,700,1800,0,10679,1600,200,0,0,400,2600
"KYN",0,2600,200,202070,1200,7182,0,15710,16908,3641,0,500,200,4637
"KYO",0,0,0,1121,0,0,0,700,200,0,0,0,0,0
"KYTH",0,1400,0,58454,100,100,0,0,1500,3601,100,0,200,500
"L",0,7936,300,881630,62955,25440,0,118947,143755,111453,4900,6500,4186,68909
"LABL",0,100,0,2569,0,0,0,0,100,1296,0,0,0,100
"LACO",0,0,0,6700,0,0,0,0,3900,400,0,0,0,0
"LAD",0,18540,200,101883,2908,16897,0,54462,21792,25373,700,2404,1300,53315
"LAG",0,0,0,13308,0,0,0,0,2497,0,0,0,0,100
"LAKE",0,100,0,10200,100,5300,0,0,100,300,0,0,100,0
"LAMR",0,10300,0,154319,8068,20100,0,0,29630,62333,300,0,1500,19298
"LANC",0,1300,0,12757,800,4104,0,0,3300,7765,0,0,739,2600
"LAND",0,0,0,2001,0,400,0,0,326,400,0,0,0,100
"LAQ",300,0,0,750,0,0,0,0,311,560,0,0,0,928
"LAS",0,0,0,50441,0,2600,0,500,7200,0,0,0,0,0
"LATM",0,0,0,1253,0,0,0,0,0,0,0,0,0,0
