;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
AMSG;0;900;0;2800;100;300;0;0;400;4066;0;0;100;400
AMSWA;0;0;0;2100;400;100;0;0;0;1800;0;0;0;300
AMT;0;4351;300;20950;1900;1103;0;10427;2102;4549;600;100;2666;4044
AMTD;0;4089;0;21450;4300;2382;0;16999;3700;4900;600;700;1900;5900
AMTG;0;500;0;5273;500;893;0;10413;1300;3388;300;0;100;455
AMU;0;0;0;300;0;0;0;0;0;952;0;0;0;0
AMWD;0;300;0;200;0;0;0;0;500;300;0;0;300;0
AMX;0;26855;0;78254;5909;18696;0;43319;6930;8400;3298;600;3588;17563
AMZN;0;5100;100;32955;200;2670;0;0;3100;12169;0;0;1400;3878
AN;0;2085;0;7199;300;2813;0;7258;2000;3200;400;0;609;1096
ANAC;0;0;0;7400;400;1600;0;0;100;1800;100;0;0;900
ANAD;0;1200;0;3500;2158;700;0;0;600;2975;0;100;200;1000
ANCB;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ANCX;0;0;0;490;0;0;0;0;0;300;0;0;0;100
ANDE;0;0;0;900;100;300;0;0;800;2486;0;0;0;100
ANEN;0;0;0;1700;0;0;0;0;100;100;0;0;0;0
ANF;0;3154;0;20899;900;3272;0;24928;3600;5259;1100;200;400;3181
ANFI;0;100;0;2100;200;0;0;800;0;200;0;0;0;100
ANGI;0;2961;100;24762;1300;1300;0;0;1974;13146;1900;0;3460;6830
ANGO;0;400;100;5745;100;100;0;0;591;2904;0;0;0;300
ANH;0;32137;0;44816;13140;800;0;78166;7011;1900;400;700;10862;9979
ANIK;0;200;100;3300;0;100;0;0;100;900;100;0;100;100
ANLY;0;100;0;0;100;0;0;0;0;0;0;0;100;0
ANN;0;3247;0;11200;1073;2100;0;7244;1200;600;100;100;400;2100
ANR;0;57511;0;332504;19315;20847;0;56028;33655;25018;26200;700;15767;17953
ANSS;0;900;0;2219;100;100;0;0;1447;1900;200;0;300;1100
ANTH;0;0;0;3800;0;3000;0;0;3900;500;0;0;600;700
ANV;3791;5800;100;34487;3100;3903;0;0;5600;16359;653;0;800;3000
ANW;0;400;0;1570;100;700;0;100;100;400;0;0;0;100
AOA;0;0;0;1660;0;0;0;0;0;0;0;0;0;0
AOD;0;300;0;14290;2600;1457;0;0;0;0;0;0;1739;0
AOI;0;1200;0;3700;600;0;0;9961;0;100;0;0;346;0
AOK;0;0;0;0;0;0;0;0;0;0;0;0;0;211
AOL;0;1415;0;4881;1000;1900;0;4161;1171;1800;100;100;1000;900
AOM;0;0;0;700;0;0;0;0;100;0;0;0;0;0
AON;0;2497;0;16958;4400;808;0;17019;6675;5983;100;0;1558;4310
AOS;0;1100;100;4112;100;1300;0;4255;2434;1200;200;0;1300;500
AOSL;0;100;0;2500;100;2964;0;0;200;1000;0;0;0;500
AP;0;0;0;600;0;0;0;100;100;100;0;0;0;0
APA;0;14607;100;74027;3900;9008;0;27185;8445;13789;100;0;3700;7061
APAGF;0;0;0;400;0;0;0;0;0;600;0;0;0;0
APAM;0;100;0;800;0;502;0;200;212;400;0;0;0;600
APB;0;100;0;600;0;0;0;2294;0;0;0;0;0;0
APC;0;7708;800;34336;2400;8445;0;18494;13140;20386;0;500;2600;4204
APD;0;3619;0;11952;1100;3600;0;9305;2120;5700;0;0;700;3587
APEI;0;400;0;300;100;300;0;0;200;600;0;0;100;464
APF;0;0;0;0;0;0;0;299;0;0;0;0;0;0
APFC;0;100;0;1300;100;2112;0;0;0;981;0;0;0;0
APH;0;565;100;5400;400;1100;0;5100;3472;2600;0;0;300;3316
APL;0;2111;0;20492;0;1796;0;9978;3511;5195;1000;0;500;1800
APO;0;1704;100;6613;600;900;0;484;400;1520;600;100;583;314
APOG;0;471;100;2000;600;359;0;0;800;2919;100;0;500;2016
APOL;0;3666;0;17318;2600;5219;0;0;8621;15242;3500;0;1847;10454
APP;500;900;0;12130;1805;0;0;0;848;1432;600;0;300;100
APPY;0;0;0;750;0;0;0;0;0;0;0;0;0;0
APRI;0;0;0;10042;100;186;0;0;1302;1000;0;0;400;200
APT;100;0;0;0;0;0;0;0;500;0;0;0;0;0
APTS;600;0;0;0;0;0;0;0;0;0;0;0;0;0
APU;0;0;0;400;0;247;0;179;0;100;0;0;0;0
ARAY;0;2000;0;14332;2600;500;0;0;3500;3572;400;0;1300;3821
ARB;0;300;0;1100;400;400;0;2107;322;300;100;0;400;300
ARC;0;500;0;2724;600;0;0;2687;100;0;0;0;400;100
ARCC;100;7527;0;50751;7077;4751;0;0;2283;6436;100;100;2900;9668
ARCO;0;2702;0;5900;1000;200;0;7514;200;3134;100;0;600;2400
ARCP;0;1900;0;56383;3100;6100;0;0;1700;17931;646;2600;2900;14645
ARDC;0;0;0;601;0;0;0;1017;0;0;0;0;0;0
ARE;0;0;0;7392;292;200;0;9201;700;1361;0;0;400;1177
AREX;0;2476;0;15669;2787;1400;0;0;4988;12554;700;0;500;5809
ARG;0;900;0;2900;827;1200;0;4189;1600;1800;100;0;800;3035
ARI;0;1500;0;902;200;600;0;3333;232;1100;300;0;100;1200
ARIA;0;12700;0;47925;12200;6952;0;0;11900;24460;0;200;3400;9321
ARII;0;200;0;1689;0;300;0;0;0;900;0;0;0;0
ARK;0;0;0;5100;0;0;0;600;100;0;0;0;0;200
ARLP;0;600;0;1350;0;400;0;0;300;2600;0;0;0;1100
ARMH;0;15757;0;188503;13526;8501;0;0;33636;50446;4900;1400;6673;34141
ARN;0;0;0;1400;0;0;0;920;0;0;0;0;0;0
ARNA;0;6403;0;116929;3198;4112;0;0;24635;7698;0;0;3258;4741
ARO;0;7064;0;50491;8209;4024;0;8533;9301;3265;300;0;1910;9539
AROW;0;0;0;300;0;0;0;0;0;300;0;0;0;100
ARP;0;0;0;509;0;200;0;100;100;0;0;900;0;0
ARQL;0;1400;0;7004;2200;8063;0;0;400;4997;100;0;1100;1200
ARR;0;30271;0;128359;11628;9516;0;23646;23132;7539;900;100;2885;15445
ARRS;0;2800;100;21118;3500;4297;0;0;2000;13943;700;200;1200;5986
ARRY;0;10408;500;103361;7653;4700;0;0;11417;29241;5049;300;5423;27773
ARSD;0;0;0;100;0;253;0;1598;0;283;0;0;0;200
ARTC;0;1000;0;3800;200;200;0;0;200;2200;0;0;100;700
ARTNA;0;0;0;100;0;0;0;0;0;0;0;0;0;0
ARTW;0;0;0;1000;0;0;0;0;0;0;0;0;0;0
ARTX;0;0;0;0;0;0;0;0;0;0;0;0;0;100
ARU;0;0;0;489;0;0;0;507;0;0;0;0;0;0
ARUN;0;2200;100;25916;4271;2500;0;0;3206;12488;1100;0;4400;7478
ARW;0;2553;0;6300;500;500;0;2358;1400;1800;400;0;200;1292
ARWR;0;0;0;700;100;0;0;0;0;3500;0;0;0;0
ARX;0;100;0;0;100;0;0;1450;500;0;0;0;0;0
ASA;0;0;0;400;0;1164;0;600;100;0;0;0;100;0
ASBC;0;6700;200;26382;3814;1821;0;0;800;16161;815;100;2100;10099
ASCMA;0;0;0;500;0;0;0;0;0;600;0;0;0;0
ASEA;0;0;0;396;0;0;0;0;0;0;0;0;0;0
ASEI;0;0;0;100;0;0;0;0;200;500;0;0;0;0
ASFI;0;0;0;200;100;0;0;0;0;200;0;0;0;0
ASG;0;0;0;250;0;0;0;1028;0;0;0;0;0;0
ASGN;0;200;0;10292;1000;700;0;9983;3443;900;100;0;100;800
ASH;0;2900;200;7807;100;900;0;7940;4501;2690;0;300;634;1668
ASI;0;200;0;100;0;0;0;100;0;400;100;0;300;0
ASIA;0;200;0;1300;400;100;0;0;400;521;0;0;100;200
ASM;0;0;0;740;0;0;0;0;0;0;0;0;0;0
ASMI;0;0;0;100;0;0;0;0;100;200;0;0;0;0
ASML;0;3107;200;13989;1500;2200;0;0;2650;9000;800;0;2200;4224
ASNA;0;2896;0;33100;3898;1700;0;0;3300;16968;441;200;2800;4884
ASP;0;0;0;748;0;0;0;100;0;0;0;0;0;0
ASPS;0;200;0;12500;100;500;0;0;705;3038;0;0;200;700
ASR;0;1000;0;2400;100;100;0;1494;0;200;0;0;300;400
ASRV;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ASTE;0;800;100;3700;100;800;0;0;500;3400;100;0;0;1721
ASTI;0;0;0;1100;0;0;0;0;0;0;0;0;0;0
ASTM;0;0;0;250;0;0;0;0;100;500;0;0;0;0
ASTX;0;1700;100;27087;3103;1400;0;0;2919;11760;1900;0;1600;4600
ASUR;0;0;0;200;0;900;0;0;0;0;0;0;0;0
ASX;0;5600;0;6580;969;0;0;2064;800;1600;1300;300;800;600
ASYS;0;0;0;580;0;0;0;0;0;600;0;0;0;0
AT;0;3365;0;10100;4200;909;0;9507;4950;5004;1500;300;0;2392
ATAX;0;0;0;4358;0;1100;0;0;0;700;0;0;0;200
ATE;0;0;0;136;100;0;0;0;0;0;0;0;0;0
ATEC;0;0;0;1400;300;300;0;0;100;0;0;0;0;600
ATHN;0;1200;400;5200;400;500;0;0;500;3963;736;0;500;1300
ATHX;0;800;0;9621;600;500;0;0;1400;1854;200;0;200;600
ATI;0;6508;200;16851;2099;1131;0;16062;1600;5352;200;0;1306;2498
ATK;0;400;100;6600;200;300;0;4458;700;400;0;100;0;1000
ATLC;0;0;0;0;0;0;0;0;100;100;0;0;0;0
ATLO;0;0;0;220;0;0;0;0;0;200;0;0;0;0
ATLS;0;200;100;3300;0;0;0;2268;200;300;0;0;200;5523
ATMI;0;300;0;1467;0;300;0;0;200;2068;0;0;0;412
ATML;0;18955;1293;44068;16992;12300;0;0;10809;42510;4900;700;17154;24940
ATNI;0;0;0;500;2000;0;0;0;100;0;0;0;0;200
ATNY;0;0;0;300;300;200;0;0;300;1700;0;0;0;0
ATO;0;2021;100;14626;300;500;0;3880;400;1500;100;0;400;700
ATOS;0;0;0;950;100;100;0;0;100;1700;0;0;0;0
ATR;0;688;0;1199;300;0;0;1377;500;1100;200;100;600;500
ATRC;0;0;0;300;0;1228;0;0;0;822;0;0;0;0
ATRI;0;0;0;0;0;0;0;0;0;0;0;0;0;100
ATRM;0;0;0;0;0;0;0;0;0;1600;0;0;0;0
ATRO;0;0;0;1100;0;100;0;0;100;1216;0;0;0;0
ATRS;0;9194;200;29065;5100;7400;0;0;8700;38450;100;500;4600;13400
ATSG;0;0;0;900;0;1500;0;0;200;2087;0;0;100;200
ATTU;0;0;0;500;0;0;0;0;0;0;0;0;0;0
ATU;0;1551;138;12822;1000;1700;0;21073;3359;908;400;0;900;1800
ATVI;200;12991;0;102112;13410;15455;0;0;12041;57503;200;0;2205;36090
ATW;0;1300;100;6450;1500;400;0;7758;400;1100;900;400;1000;1500
