,Stock,A,B,C,D,J,K,M,N,P,Q,W,X,Y,Z,
54,ACTV,0,0,0,0.567567568,0,0,0,0.324324324,0,0.054054054,0,0,0,0.054054054,1
55,ACU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,ACUR,0,0.006327712,0,0.724396494,0,0.005378555,0,0,0.009491568,0.232258677,0,0,0.003163856,0.018983137,1
57,ACW,0,0,0,0.142857143,0,0,0,0.285714286,0.285714286,0.285714286,0,0,0,0,1
58,ACWI,0,0.065279709,0,0.659438594,0.017029489,0,0,0,0.096472057,0.059603213,0,0,0.002838248,0.099338688,1
59,ACWV,0,0,0,0.769230769,0,0,0,0,0.230769231,0,0,0,0,0,1
60,ACWX,0,0,0,0.222222222,0,0,0,0,0,0.407407407,0,0,0,0.37037037,1
61,ACXM,0,0,0,0.989285714,0,0,0,0,0,0.010714286,0,0,0,0,1
62,ADAT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
63,ADBE,0,0.014085003,0,0.275537871,0.014085003,0.104088172,0,0,0.112750449,0.384379732,0,0,0.028170006,0.066903764,1
64,ADC,0,0.018315018,0,0.963369963,0,0,0,0,0,0,0,0,0,0.018315018,1
65,ADEP,0,0,0,0.630350195,0,0.038910506,0,0,0,0.3307393,0,0,0,0,1
66,ADES,0,0,0,0.5,0,0,0,0,0.333333333,0,0,0,0,0.166666667,1
67,ADI,0,0.007304424,0,0.470429257,0.041391736,0.051130968,0,0,0.051130968,0.308003214,0.002434808,0,0.004869616,0.063305008,1
68,ADK,0,0,0,0.893390192,0,0.053304904,0,0,0.053304904,0,0,0,0,0,1
69,ADM,0,0.083822297,0,0.266714565,0.047898455,0.023949228,0,0.20879735,0.027940766,0.169241209,0.007983076,0.015966152,0.007983076,0.139703828,1
70,ADNC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71,ADP,0,0.008245383,0,0.405343008,0.03298153,0.049472296,0,0,0.049472296,0.372031662,0,0,0.008245383,0.074208443,1
72,ADRE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
73,ADS,0,0.007251632,0.003625816,0.678680203,0,0.007251632,0,0.125525743,0.094271211,0.054387237,0,0.003625816,0.014503263,0.010877447,1
74,ADSK,0,0.007736944,0.003868472,0.342282398,0.011605416,0.082011605,0,0,0.134738878,0.282359768,0,0,0.003868472,0.131528046,1
75,ADT,0,0.051172708,0.042643923,0.341151386,0.017057569,0.061833689,0,0.051172708,0.068230277,0.324093817,0.008528785,0,0.025586354,0.008528785,1
76,ADTN,0,0,0,0.436363636,0.018181818,0.109090909,0,0,0.036363636,0.381818182,0,0,0,0.018181818,1
77,ADUS,0,0,0,0.970149254,0,0,0,0,0,0,0,0,0.029850746,0,1
78,ADVS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
79,ADX,0,0,0,0.684210526,0,0,0,0.315789474,0,0,0,0,0,0,1
80,AE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,AEB,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0.714285714,1
82,AEC,0,0,0,0.166666667,0,0.083333333,0,0.416666667,0,0,0,0,0,0.333333333,1
83,AED,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
84,AEE,0,0.017728925,0,0.618650829,0.017906214,0,0,0.239340484,0.017728925,0.017728925,0.008864462,0,0,0.062051237,1
85,AEF,0,0,0,0.05,0,0,0,0.4,0.3,0.05,0.1,0,0,0.1,1
86,AEG,0,0.026899798,0,0.807666443,0,0.060524546,0,0.078009415,0,0.013449899,0.00672495,0,0.00672495,0,1
87,AEGN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
88,AEGR,0,0.066666667,0,0.666666667,0,0,0,0,0,0.066666667,0,0,0.066666667,0.133333333,1
