"exchange"	"symbol"	"x"
"338"	"X"	"BAA"	4860
"339"	"Y"	"BAA"	6614
"340"	"Z"	"BAA"	47024
"342"	"D"	"BCV"	3990
"343"	"P"	"BCV"	300
"344"	"Q"	"BCV"	100
"346"	"A"	"BFY"	400
"347"	"D"	"BFY"	1090
"348"	"K"	"BFY"	100
"349"	"P"	"BFY"	500
"350"	"Q"	"BFY"	200
"351"	"A"	"BHB"	100
"352"	"D"	"BHB"	500
"353"	"P"	"BHB"	906
"354"	"Q"	"BHB"	100
"355"	"Z"	"BHB"	100
"358"	"A"	"BHV"	500
"359"	"D"	"BHV"	3075
"364"	"A"	"BKR"	100
"365"	"D"	"BKR"	1500
"366"	"P"	"BKR"	2253
"367"	"Q"	"BKR"	100
"368"	"Z"	"BKR"	200
"371"	"A"	"BLE"	3514
"372"	"C"	"BLE"	200
"373"	"D"	"BLE"	16923
"374"	"K"	"BLE"	7396
"375"	"P"	"BLE"	200
"376"	"A"	"BLJ"	800
"377"	"C"	"BLJ"	800
"378"	"D"	"BLJ"	1068
"379"	"P"	"BLJ"	500
"381"	"D"	"BONE"	15395
"382"	"J"	"BONE"	1000
"383"	"K"	"BONE"	600
"384"	"P"	"BONE"	100
"385"	"Q"	"BONE"	3335
"386"	"Z"	"BONE"	200
"387"	"A"	"BPS"	200
"388"	"D"	"BPS"	290
"389"	"Z"	"BPS"	666
"393"	"A"	"BQY"	1200
"394"	"D"	"BQY"	5420
"395"	"K"	"BQY"	500
"396"	"P"	"BQY"	800
"397"	"Q"	"BQY"	300
"398"	"Z"	"BQY"	200
"405"	"A"	"BRD"	21605
"406"	"B"	"BRD"	6900
"407"	"C"	"BRD"	26901
"408"	"D"	"BRD"	363044
"409"	"J"	"BRD"	1700
"410"	"K"	"BRD"	15465
"411"	"P"	"BRD"	1500
"412"	"Q"	"BRD"	5110
"413"	"Y"	"BRD"	2000
"414"	"Z"	"BRD"	1450
"432"	"A"	"BTI"	9242
"433"	"B"	"BTI"	6100
"434"	"C"	"BTI"	100
"435"	"D"	"BTI"	24614
"436"	"J"	"BTI"	1100
"437"	"K"	"BTI"	8000
"438"	"P"	"BTI"	10418
"439"	"Q"	"BTI"	10150
"440"	"W"	"BTI"	1300
"441"	"X"	"BTI"	700
"442"	"Y"	"BTI"	4032
"443"	"Z"	"BTI"	15863
"449"	"A"	"BTN"	200
"450"	"D"	"BTN"	30961
"451"	"J"	"BTN"	100
"452"	"K"	"BTN"	600
"453"	"P"	"BTN"	900
"454"	"Q"	"BTN"	2050
"455"	"Y"	"BTN"	100
"456"	"Z"	"BTN"	400
"471"	"A"	"BTX"	5600
"472"	"B"	"BTX"	500
"473"	"D"	"BTX"	112804
"474"	"J"	"BTX"	8600
"475"	"K"	"BTX"	4273
"476"	"P"	"BTX"	9604
"477"	"Q"	"BTX"	8750
"478"	"W"	"BTX"	200
"479"	"Z"	"BTX"	3611
"484"	"D"	"BVX"	9121
"485"	"J"	"BVX"	200
"486"	"P"	"BVX"	100
"492"	"A"	"BXE"	600
"493"	"D"	"BXE"	14875
"494"	"K"	"BXE"	2600
"495"	"P"	"BXE"	200
"496"	"Q"	"BXE"	6900
"497"	"Z"	"BXE"	900
"498"	"A"	"BZC"	500
"499"	"D"	"BZC"	500
"500"	"A"	"BZM"	600
"501"	"B"	"BZM"	100
"502"	"D"	"BZM"	400
"503"	"K"	"BZM"	181
"504"	"P"	"BZM"	100
"505"	"Q"	"BZM"	176
"508"	"A"	"CAK"	100
"509"	"D"	"CAK"	17460
"510"	"J"	"CAK"	400
"511"	"K"	"CAK"	5500
"512"	"Y"	"CAK"	100
"513"	"Z"	"CAK"	400
"516"	"D"	"CAW"	6042
"517"	"Q"	"CAW"	200
"518"	"A"	"CCA"	100
"519"	"D"	"CCA"	1300
"520"	"Z"	"CCA"	300
"522"	"D"	"CCF"	5455
"523"	"K"	"CCF"	400
"524"	"Q"	"CCF"	900
"526"	"A"	"CDY"	300
"527"	"D"	"CDY"	4497
"543"	"A"	"CEF"	25815
"544"	"B"	"CEF"	54501
"545"	"C"	"CEF"	100
"546"	"D"	"CEF"	593819
"547"	"J"	"CEF"	13454
"548"	"K"	"CEF"	41982
"549"	"P"	"CEF"	100754
"550"	"Q"	"CEF"	104793
"551"	"W"	"CEF"	1400
"552"	"X"	"CEF"	5700
"553"	"Y"	"CEF"	8008
"554"	"Z"	"CEF"	117957
"556"	"D"	"CEP"	7950
"557"	"K"	"CEP"	100
"558"	"Q"	"CEP"	221
"559"	"A"	"CET"	100
"560"	"D"	"CET"	16318
"561"	"K"	"CET"	625
"562"	"P"	"CET"	3248
"563"	"Q"	"CET"	6100
"564"	"Z"	"CET"	200
"565"	"A"	"CEV"	200
"566"	"D"	"CEV"	5813
"567"	"K"	"CEV"	100
"568"	"P"	"CEV"	1700
"569"	"Q"	"CEV"	300
"570"	"Y"	"CEV"	200
"573"	"A"	"CFD"	800
"574"	"C"	"CFD"	200
"575"	"D"	"CFD"	28361
"576"	"K"	"CFD"	1200
"577"	"P"	"CFD"	400
"578"	"Q"	"CFD"	200
"579"	"Z"	"CFD"	200
"588"	"A"	"CFP"	8726
"589"	"C"	"CFP"	467
"590"	"D"	"CFP"	165264
"591"	"J"	"CFP"	1560
"592"	"K"	"CFP"	16382
"593"	"P"	"CFP"	5100
"594"	"Q"	"CFP"	28031
"595"	"W"	"CFP"	200
"596"	"X"	"CFP"	600
"597"	"Z"	"CFP"	2350
"600"	"A"	"CGR"	4700
"601"	"C"	"CGR"	100
"602"	"D"	"CGR"	53110
"603"	"J"	"CGR"	1500
"604"	"K"	"CGR"	11296
"605"	"Q"	"CGR"	5700
"606"	"W"	"CGR"	100
"609"	"D"	"CH"	11224
"610"	"K"	"CH"	1200
"611"	"P"	"CH"	146
"613"	"D"	"CHGS"	2064
"616"	"A"	"CIK"	8816
"617"	"B"	"CIK"	300
"618"	"C"	"CIK"	100
"619"	"D"	"CIK"	75737
"620"	"J"	"CIK"	300
"621"	"K"	"CIK"	5900
"622"	"P"	"CIK"	1600
"623"	"Q"	"CIK"	7447
"624"	"Y"	"CIK"	1200
"625"	"Z"	"CIK"	3384
"627"	"D"	"CIX"	100
"628"	"A"	"CKX"	100
"632"	"A"	"CLM"	4100
"633"	"B"	"CLM"	100
"634"	"D"	"CLM"	127268
"635"	"J"	"CLM"	500
"636"	"K"	"CLM"	12752
"637"	"P"	"CLM"	2100
"638"	"Q"	"CLM"	10261
"639"	"X"	"CLM"	200
"640"	"Y"	"CLM"	200
"641"	"Z"	"CLM"	3950
"642"	"D"	"CMFO"	400
"645"	"D"	"CMT"	4466
"646"	"K"	"CMT"	100
"647"	"P"	"CMT"	200
"648"	"Q"	"CMT"	200
"649"	"Z"	"CMT"	900
"651"	"D"	"CNR"	2905
"652"	"D"	"COVR"	11268
"654"	"A"	"CPHI"	100
"655"	"D"	"CPHI"	1900
"670"	"A"	"CQP"	5201
"671"	"B"	"CQP"	7400
"672"	"C"	"CQP"	300
"673"	"D"	"CQP"	112078
"674"	"J"	"CQP"	4123
"675"	"K"	"CQP"	19864
"676"	"P"	"CQP"	8370
"677"	"Q"	"CQP"	18118
"678"	"W"	"CQP"	500
"679"	"X"	"CQP"	900
"680"	"Y"	"CQP"	500
"681"	"Z"	"CQP"	4686
"683"	"A"	"CRF"	1672
"684"	"C"	"CRF"	1800
"685"	"D"	"CRF"	81588
"686"	"J"	"CRF"	500
"687"	"K"	"CRF"	6800
"688"	"P"	"CRF"	400
"689"	"Q"	"CRF"	5329
"690"	"Z"	"CRF"	2400
"691"	"A"	"CRMD"	600
"692"	"D"	"CRMD"	5200
"693"	"K"	"CRMD"	100
"694"	"P"	"CRMD"	100
"696"	"A"	"CRV"	1201
"697"	"D"	"CRV"	3100
"698"	"Q"	"CRV"	100
"702"	"A"	"CTF"	2100
"703"	"C"	"CTF"	100
"704"	"D"	"CTF"	62175
"705"	"J"	"CTF"	300
"706"	"K"	"CTF"	6200
"707"	"P"	"CTF"	4361
"708"	"Q"	"CTF"	6300
"709"	"Y"	"CTF"	1099
"710"	"Z"	"CTF"	1400
"712"	"B"	"CTO"	100
"713"	"D"	"CTO"	1000
"714"	"Q"	"CTO"	100
"716"	"D"	"CUO"	900
"728"	"A"	"CUR"	1400
"729"	"B"	"CUR"	2622
"730"	"D"	"CUR"	56633
"731"	"J"	"CUR"	5482
"732"	"K"	"CUR"	411
"733"	"P"	"CUR"	4318
"734"	"Q"	"CUR"	975
"735"	"W"	"CUR"	1200
"736"	"Y"	"CUR"	1400
"737"	"Z"	"CUR"	2100
"745"	"A"	"CVM"	6100
"746"	"C"	"CVM"	6700
"747"	"D"	"CVM"	526602
"748"	"J"	"CVM"	837
"749"	"K"	"CVM"	83479
"750"	"P"	"CVM"	15500
"751"	"Q"	"CVM"	472163
"752"	"Y"	"CVM"	200
